id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
393bfef56232,alphaD-off,2700,20.0,150.0,,,,{},68.2,92.5,0.7373,25,0.2608,1,1,0.0293,0,1,0,1,0.0
438038502a5d,alphaD-off,3900,20.0,150.0,,,,{},58.45,86.5,0.6757,25,0.1684,1,1,0.1508,0,1,0,1,0.0
d1f274660047,alphaD-off,4600,20.0,62.4,,,,{},76.74,84.2,0.9114,25,-0.1294,1,1,0.2656,0,1,0,1,0.0
bbac30f36301,alphaD-off,5300,20.0,71.4,,,,{},70.35,83.9,0.8385,25,0.1281,1,1,0.2859,0,1,0,1,0.0
73f01b5ea4bc,alphaD-off,6300,20.0,150.0,,,,{},42.71,75.4,0.5665,25,0.1118,1,1,0.2824,0,1,0,1,0.0
f652cb924b85,alphaD-off,6900,20.0,110.0,,,,{},50.68,70.3,0.7209,25,-0.08,1,1,0.2133,0,1,0,1,0.0
3fdd3f021363,alphaD-off,2700,45.0,150.0,,,,{},75.27,97.2,0.7743,25,0.1821,1,1,0.0602,0,1,0,1,0.0
091d0a26d752,alphaD-off,3900,45.0,110.0,,,,{},72.55,105.3,0.689,34,0.2965,1,1,0.1329,0,1,0,1,0.0
e706009b5905,alphaD-off,4600,45.0,110.0,,,,{},98.96,104.1,0.9507,25,-0.1392,1,1,0.1466,0,1,0,1,0.0
4547b3932e8e,alphaD-off,5300,45.0,110.0,,,,{},92.57,101.9,0.9084,28,-0.2549,1,1,0.1815,0,1,0,1,0.0
4a8f51c13003,alphaD-off,6300,45.0,110.0,,,,{},89.89,95.5,0.9413,25,-0.1535,1,1,0.1357,0,1,0,1,0.0
9daf26eae490,alphaD-off,6900,45.0,110.0,,,,{},88.27,92.1,0.9584,26,-0.2842,1,1,0.1288,0,1,0,1,0.0
acf975892f54,alphaD-a02,6900,45.0,110.0,0.2,,,{},94.11,92.1,1.0218,26,-0.2289,1,1,0.1365,0,1,0,1,96.6
28d459ee3592,alphaD-a02,5300,20.0,71.4,0.2,,,{},71.21,83.9,0.8488,25,-0.0995,1,1,0.3034,0,1,0,1,145.1
1246385a819d,alphaD-a02,6300,45.0,110.0,0.2,,,{},94.5,95.5,0.9895,30,-0.2263,1,1,0.1296,0,1,0,1,165.1
f0eacea5fe1e,alphaD-a02,6900,20.0,110.0,0.2,,,{},30.89,70.3,0.4394,25,-0.0156,1,1,0.2879,0,1,0,1,197.3
8ae1cde8679c,alphaD-a02,6300,20.0,150.0,0.2,,,{},42.3,75.4,0.561,25,-0.0221,1,1,0.2856,0,1,0,1,229.4
a06026df87b0,alphaD-a02,4600,45.0,110.0,0.2,,,{},104.01,104.1,0.9991,37,-0.1515,1,1,0.1446,0,1,0,1,269.7
adf79f07790f,alphaD-a02,4600,20.0,62.4,0.2,,,{},52.66,84.2,0.6254,25,-0.1034,1,1,0.124,0,1,0,1,289.6
96b8b009dbd0,alphaD-a02,3900,20.0,150.0,0.2,,,{},56.55,86.5,0.6538,25,-0.0436,1,1,0.1178,0,1,0,1,326.2
c86b06befb7e,alphaD-a04,5300,20.0,71.4,0.4,,,{},48.94,83.9,0.5833,25,-0.1775,1,1,0.2217,0,1,0,1,249.3
e4683525c7b4,alphaD-a04,6300,20.0,150.0,0.4,,,{},42.32,75.4,0.5612,25,0.0111,1,1,0.2869,0,1,0,1,225.3
fcf8c1704c14,alphaD-a04,4600,20.0,62.4,0.4,,,{},54.13,84.2,0.6429,25,-0.0501,1,1,0.1325,0,1,0,1,293.6
c77e8e855f3b,alphaD-a04,6900,20.0,110.0,0.4,,,{},31.27,70.3,0.4448,25,-0.2302,1,1,0.2872,0,1,0,1,201.2
3a8ed4a0a6dd,alphaD-a04,3900,20.0,150.0,0.4,,,{},54.31,86.5,0.6279,25,-0.0312,1,1,0.1149,0,1,0,1,349.8
8fe0a6ff3fdf,alphaD-a02,2700,45.0,150.0,0.2,,,{},64.96,97.2,0.6684,25,0.0728,1,1,0.0178,0,1,0,1,538.5
30272b9c5b37,alphaD-a04,2700,20.0,150.0,0.4,,,{},64.84,92.5,0.701,25,-0.0143,1,1,0.1562,0,1,0,1,458.4
1991138f2afc,alphaD-a04,2700,45.0,150.0,0.4,,,{},67.16,97.2,0.691,25,0.0325,1,1,0.0149,0,1,0,1,482.1
bd7bca3add85,alphaD-a04,6900,45.0,110.0,0.4,,,{},94.89,92.1,1.0303,47,0.2614,1,1,0.1378,0,1,0,1,309.7
edf56bd8a5d5,alphaD-off-perturb,5300,20.0,66.4,,,,{},87.45,83.9,1.0423,26,0.0728,1,1,1.0514,0,1,0,1,245.1
b6e38cf08d4e,alphaD-a04,5300,45.0,110.0,0.4,,,{},94.38,101.9,0.9262,40,0.2471,1,1,0.1666,0,1,0,1,361.9
6e7ac8167c25,alphaD-off-perturb,3900,20.0,155.0,,,,{},56.98,86.5,0.6588,25,0.1749,1,1,0.1524,0,1,0,1,293.2
19609a8bb22d,alphaD-a04,6300,45.0,110.0,0.4,,,{},94.82,95.5,0.9928,44,0.2777,1,1,0.13,0,1,0,1,378.1
6fdb1ef0dc21,alphaD-a04,3900,45.0,110.0,0.4,,,{},98.67,105.3,0.937,34,0.2861,1,1,0.0909,0,0,0,0,551.1
650ebb13d926,alphaD-a02,5300,45.0,110.0,0.2,,,{},179.23,101.9,1.7589,36,-0.0156,1,0,1.8241,1,0,0,0,885.5
7433dd0b51b5,alphaD-a02,3900,45.0,110.0,0.2,,,{},87.4,105.3,0.83,54,0.3362,0,1,0.0791,0,1,0,0,900.4
1a101e50b4cc,alphaD-a04,4600,45.0,110.0,0.4,,,{},102.06,104.1,0.9804,41,0.2868,1,1,0.1433,0,1,0,1,454.1
cdc0d9ef217c,alphaD-a02,2700,20.0,150.0,0.2,,,{},49.77,92.5,0.5381,23,0.0026,1,0,0.9929,1,1,0,0,904.0
9b577463f5ca,alphaD-off-perturb,5300,20.0,76.4,,,,{},69.97,83.9,0.8339,25,0.2256,1,1,0.2903,0,1,0,1,156.8
ac0cff4c563a,alphaD-a02-perturb,5300,20.0,76.4,0.2,,,{},68.61,83.9,0.8178,25,-0.145,1,1,0.2948,0,1,0,1,136.7
252ec7003252,alphaD-a02-perturb,5300,20.0,66.4,0.2,,,{},51.02,83.9,0.6081,25,-0.0384,1,1,0.2261,0,1,0,1,225.3
d5455151e8f7,alphaD-a02-perturb,3900,20.0,145.0,0.2,,,{},50.98,86.5,0.5893,25,0.1431,1,1,0.0853,0,1,0,1,349.9
66efd2c112cf,alphaD-a02-perturb,3900,20.0,155.0,0.2,,,{},53.3,86.5,0.6162,25,0.0761,1,1,0.1127,0,1,0,1,341.7
69b082da3257,alphaD-a04-perturb,3900,20.0,145.0,0.4,,,{},57.9,86.5,0.6694,25,-0.041,1,1,0.0895,0,1,0,1,313.8
4d728344ec0f,alphaD-a04-perturb,5300,20.0,66.4,0.4,,,{},51.34,83.9,0.6119,25,-0.1743,1,1,0.2297,0,1,0,1,277.5
