id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
30ce667590bb,baseC,2700,20.0,110.0,,,,{},89.56,92.5,0.9682,25,-0.1066,1,1,0.0698,0,1,0,1,241.5
38133f034e90,baseC,2700,30.0,110.0,,,,{},97.14,95.5,1.0172,25,-0.1918,1,1,0.0518,0,1,0,1,274.2
5c1d0d3be87b,baseC,2700,45.0,150.0,,,,{},75.27,97.2,0.7743,25,0.1821,1,1,0.0602,0,1,0,1,432.8
51734f2c535c,baseC,2700,64.99,150.0,,,,{},76.12,101.7,0.7485,25,0.2939,1,1,0.0571,0,1,0,1,476.2
c939a5de1ceb,baseC,2700,45.0,110.0,,,,{},74.86,97.2,0.7701,26,0.0351,1,1,0.0448,0,1,0,1,497.9
4ddded2c6782,baseC,2700,30.0,190.0,,,,{},62.78,95.5,0.6573,25,0.1756,1,1,0.0268,0,1,0,1,497.9
3f5feda569a6,baseC,2700,45.0,190.0,,,,{},68.7,97.2,0.7068,25,0.0878,1,1,0.3599,0,1,0,1,510.2
2b8c5cf79e3a,baseC,2700,20.0,150.0,,,,{},68.2,92.5,0.7373,25,0.2608,1,1,0.0293,0,1,0,1,514.0
742decfe61e0,baseC,2700,30.0,150.0,,,,{},70.06,95.5,0.7336,25,0.1879,1,1,0.0362,0,1,0,1,560.7
a94aaf25c9d7,baseC,3900,20.0,110.0,,,,{},54.0,86.5,0.6242,25,0.2139,1,1,0.1498,0,1,0,1,331.3
05df0044bf2b,baseC,2700,64.99,190.0,,,,{},63.77,101.7,0.6271,26,-0.1014,1,1,0.0677,0,1,0,1,584.4
47da73ac9d99,baseC,2700,20.0,190.0,,,,{},58.86,92.5,0.6363,25,0.0605,1,1,0.0264,0,1,0,1,608.7
affa5018cbd2,baseC,2700,64.99,110.0,,,,{},77.25,101.7,0.7596,30,0.292,1,1,0.0624,0,1,0,1,637.3
6e102ab2aab9,baseC,3900,20.0,150.0,,,,{},58.45,86.5,0.6757,25,0.1684,1,1,0.1508,0,1,0,1,376.6
996cb7af2b91,baseC,3900,30.0,110.0,,,,{},88.76,97.6,0.9094,25,-0.2497,1,1,0.1641,0,1,0,1,255.1
f50e174f0dcb,baseC,4600,20.0,110.0,,,,{},74.79,84.2,0.8883,25,-0.2126,1,1,0.2705,0,1,0,1,180.5
ef6709faf792,baseC,3900,20.0,190.0,,,,{},49.44,86.5,0.5716,25,0.067,1,1,0.156,0,1,0,1,403.0
7281872aefd6,baseC,3900,30.0,150.0,,,,{},63.48,97.6,0.6504,25,0.2178,1,1,0.1404,0,1,0,1,350.2
1d460c5ee7e2,baseC,3900,45.0,150.0,,,,{},67.56,105.3,0.6416,26,0.2556,1,1,0.0721,0,1,0,1,376.5
b68c84b6ed62,baseC,3900,64.99,150.0,,,,{},70.78,111.8,0.6331,25,0.1977,1,1,0.0397,0,1,0,1,364.1
87eaa3035e81,baseC,3900,30.0,190.0,,,,{},54.27,97.6,0.556,25,0.093,1,1,0.1555,0,1,0,1,463.7
925f83081350,baseC,4600,30.0,110.0,,,,{},83.13,95.4,0.8714,25,-0.2517,1,1,0.2302,0,1,0,1,192.7
e4be1479bfd3,baseC,3900,64.99,110.0,,,,{},74.5,111.8,0.6664,27,0.2647,1,1,0.0966,0,1,0,1,438.3
a20b67e4c282,baseC,4600,20.0,150.0,,,,{},50.61,84.2,0.6011,25,0.1808,1,1,0.1139,0,1,0,1,372.3
38a76c4b8ea2,baseC,4600,20.0,190.0,,,,{},52.23,84.2,0.6203,25,0.0241,1,1,0.2889,0,1,0,1,347.6
9ccc02b87a61,baseC,4600,45.0,110.0,,,,{},98.96,104.1,0.9507,25,-0.1392,1,1,0.1466,0,1,0,1,211.5
5546f4026c9e,baseC,4600,30.0,150.0,,,,{},58.68,95.4,0.6151,25,0.1483,1,1,0.1156,0,1,0,1,302.3
511ce8deb739,baseC,3900,45.0,110.0,,,,{},72.55,105.3,0.689,34,0.2965,1,1,0.1329,0,1,0,1,629.4
030942e5c7ca,baseC,5300,20.0,190.0,,,,{},0.0,83.9,0.0,0,,0,1,,,0,0,0,10.8
0b3922bb9e8a,baseC,4600,30.0,190.0,,,,{},56.61,95.4,0.5934,25,-0.0364,1,1,0.2851,0,1,0,1,319.0
2395eaa796d3,baseC,5300,20.0,110.0,,,,{},68.68,83.9,0.8186,25,-0.1457,1,1,0.2558,0,1,0,1,180.2
064ff7e63d2f,baseC,5300,30.0,110.0,,,,{},77.5,93.3,0.8307,25,-0.2484,1,1,0.2189,0,1,0,1,136.2
45c90d9866aa,baseC,4600,45.0,190.0,,,,{},58.99,104.1,0.5666,25,0.0215,1,1,0.106,0,1,0,1,319.5
e6db4f23fd14,baseC,4600,45.0,150.0,,,,{},67.35,104.1,0.647,25,0.1847,1,1,0.086,0,1,0,1,388.1
b65e81832c41,baseC,5300,20.0,150.0,,,,{},53.16,83.9,0.6336,25,0.039,1,1,0.2525,0,1,0,1,244.9
fcbb65cb56b4,baseC,4600,64.99,150.0,,,,{},71.63,108.9,0.6578,25,0.2933,1,1,0.0538,0,1,0,1,347.3
08a4790e51dc,baseC,4600,64.99,190.0,,,,{},61.18,108.9,0.5618,25,0.1262,1,1,0.0821,0,1,0,1,405.7
2af106b110dd,baseC,4600,64.99,110.0,,,,{},73.79,108.9,0.6776,29,0.2308,1,1,0.0525,0,1,0,1,425.7
2add5152a6ee,baseC,3900,45.0,190.0,,,,{},0.0,105.3,0.0,0,,0,1,,,0,0,0,901.3
0ca81e29e103,baseC,5300,45.0,110.0,,,,{},92.57,101.9,0.9084,28,-0.2549,1,1,0.1815,0,1,0,1,204.6
65c9f3282332,baseC,5300,30.0,150.0,,,,{},57.6,93.3,0.6173,25,0.2504,1,1,0.1848,0,1,0,1,346.3
03cdf7dd1d6c,baseC,3900,64.99,190.0,,,,{},0.0,111.8,0.0,0,,0,1,,,0,0,0,903.0
f9849139cbf8,baseC,5300,64.99,110.0,,,,{},107.77,107.3,1.0044,26,-0.2022,1,1,0.0921,0,1,0,1,200.7
0f8ea2b8009a,baseC,5300,45.0,150.0,,,,{},66.65,101.9,0.6541,25,0.1938,1,1,0.1441,0,1,0,1,307.3
b67a08081d67,baseC,6300,30.0,110.0,,,,{},67.48,84.8,0.7958,27,-0.2692,1,1,0.1893,0,1,0,1,143.7
c86be5d8ab33,baseC,5300,45.0,190.0,,,,{},114.24,101.9,1.1211,25,0.0429,1,1,3.7867,0,1,0,1,337.8
e9566f08fc17,baseC,5300,64.99,150.0,,,,{},73.65,107.3,0.6864,25,0.1977,1,1,0.034,0,1,0,1,321.7
91f6c598bf0c,baseC,6300,20.0,110.0,,,,{},39.6,75.4,0.5252,25,0.0982,1,1,0.2968,0,1,0,1,244.2
5cba2a2108da,baseC,5300,64.99,190.0,,,,{},61.19,107.3,0.5703,25,0.1457,1,1,0.0859,0,1,0,1,317.3
f1150b3f9163,baseC,6300,45.0,110.0,,,,{},89.89,95.5,0.9413,25,-0.1535,1,1,0.1357,0,1,0,1,151.7
bc519105a247,baseC,6300,20.0,150.0,,,,{},42.71,75.4,0.5665,25,0.1118,1,1,0.2824,0,1,0,1,264.1
e6071da5d765,baseC,6300,30.0,190.0,,,,{},46.48,84.8,0.5481,25,-0.0091,1,1,0.3291,0,1,0,1,229.7
c3d131f1caaa,baseC,6300,30.0,150.0,,,,{},49.05,84.8,0.5784,25,0.197,1,1,0.253,0,1,0,1,270.2
bb0996e0212d,baseC,6300,64.99,110.0,,,,{},105.51,104.4,1.0106,25,0.0182,1,1,0.0986,0,1,0,1,159.9
4300cc979670,baseC,6900,20.0,110.0,,,,{},50.68,70.3,0.7209,25,-0.08,1,1,0.2133,0,1,0,1,118.4
2837f53d7d22,baseC,6300,45.0,190.0,,,,{},52.37,95.5,0.5484,25,0.0358,1,1,0.2409,0,1,0,1,217.2
cf3c848bb6db,baseC,6300,45.0,150.0,,,,{},61.35,95.5,0.6424,25,0.2406,1,1,0.1919,0,1,0,1,253.6
