id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
bb9c5df5c939,icvA,3100,20.0,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.05}",55.96,95.5,0.586,25,0.2087,1,1,0.038,0,1,0,1,428.9
35187633c406,icvA,3100,20.0,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.1}",58.96,95.5,0.6174,25,0.1944,1,1,0.0345,0,1,0,1,429.0
e401fa61d432,icvA,3100,20.0,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.2}",65.54,95.5,0.6863,25,0.1957,1,1,0.1005,0,1,0,1,449.2
a967fb06ff30,icvA,3100,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.1}",57.28,90.2,0.635,25,0.2783,1,1,0.0354,0,1,0,1,449.3
2282f1fbe8cb,icvA,3100,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.1}",57.28,79.0,0.725,25,0.2783,1,1,0.031,0,1,0,1,450.0
1c17fd1d2c22,icvA,3100,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.2}",59.5,90.2,0.6597,25,0.2731,1,1,0.0302,0,1,0,1,481.4
893090d8b8d0,icvA,3100,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.2}",59.5,79.0,0.7532,25,0.2731,1,1,0.0302,0,1,0,1,481.5
833f7dd47f84,icvA,3100,20.0,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",68.18,95.5,0.714,25,0.1749,1,1,0.0998,0,1,0,1,512.8
4d99566f8b9d,icvA,3900,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.1}",52.71,67.9,0.7762,25,0.1801,1,1,0.1706,0,1,0,1,339.7
2eea60704e30,icvA,3900,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.05}",53.88,67.9,0.7936,25,0.2237,1,1,0.1082,0,1,0,1,371.7
778cc1194753,icvA,3900,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.1}",50.73,78.6,0.6455,25,0.253,1,1,0.1531,0,1,0,1,327.2
043e8c313b42,icvA,3900,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",60.11,78.6,0.7647,25,0.1678,1,1,0.1489,0,1,0,1,335.3
5695b4a462c3,icvA,3900,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.05}",48.83,78.6,0.6213,25,0.2686,1,1,0.1226,0,1,0,1,400.1
a964ba98bfae,icvA,3100,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",0.0,90.2,0.0,0,,0,1,,,0,0,0,900.5
8482426d9b0f,icvA,3100,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",0.0,79.0,0.0,0,,0,1,,,0,0,0,901.3
b942bae37bf9,icvA,3100,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.05}",65.77,79.0,0.8325,23,2.1342,0,0,0.9941,1,1,0,0,901.8
c79b998c30bb,icvA,3100,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.05}",55.45,90.2,0.6147,24,-2.7883,0,0,0.993,1,1,0,0,902.4
3fccbb78f27c,icvA,3900,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.2}",53.39,78.6,0.6792,25,0.2959,1,1,0.1435,0,1,0,1,436.6
