id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
d3849fcd8fbf,recheckE,3900,20.0,150.0,,,,{},58.45,86.5,0.6757,25,0.1684,1,1,0.1508,0,1,0,1,0.0
020172e1429e,recheckE,5300,20.0,71.4,,,,{},70.35,83.9,0.8385,25,0.1281,1,1,0.2859,0,1,0,1,0.0
a7e0c34c3f6a,recheckE,6900,20.0,110.0,,,,{},50.68,70.3,0.7209,25,-0.08,1,1,0.2133,0,1,0,1,0.0
34a37f2089fd,recheckE,6900,14.99,110.0,,,,{},50.68,62.9,0.8058,26,-0.1196,1,1,0.217,0,1,0,1,92.5
1ea6dd411834,recheckE,5300,10.01,71.4,,,,{},69.37,65.0,1.0672,25,-0.0598,1,1,0.2893,0,1,0,1,132.7
cb907b3a2ea3,recheckE,5300,14.99,71.4,,,,{},70.07,75.8,0.9244,25,-0.1125,1,1,0.2798,0,1,0,1,136.8
14f8728aa573,recheckE,6900,10.01,110.0,,,,{},29.45,52.8,0.5578,25,0.2191,1,1,0.2676,0,1,0,0,173.0
194eeda0b97c,recheckE,3900,14.99,150.0,,,,{},56.9,78.6,0.7239,25,0.1736,1,1,0.1431,0,1,0,1,257.5
3e7fe1f6f9ea,recheckE,3100,10.01,150.0,,,,{},63.09,79.0,0.7986,25,0.1431,1,1,0.0188,0,1,0,1,301.8
3d10a48acb89,recheckE,3900,10.01,150.0,,,,{},56.4,67.9,0.8306,25,0.2367,1,1,0.1276,0,1,0,1,309.9
6f2c72891f46,recheckE,3100,14.99,150.0,,,,{},63.09,90.2,0.6994,25,0.1431,1,1,0.0188,0,1,0,1,330.0
0d2604c11127,recheckE,3100,20.0,150.0,,,,{},61.11,95.5,0.6399,25,0.292,1,1,0.0174,0,1,0,1,354.2
d56f0eb2ee2b,icvfinal-s03,3100,20.0,150.0,,,,{},71.24,95.5,0.746,25,0.264,1,1,0.0515,0,1,0,1,0.0
f2025cfc981c,icvfinal-s03,3900,20.0,150.0,,,,{},68.56,86.5,0.7926,25,0.2575,1,1,0.0459,0,1,0,1,0.0
54d80fa5ad50,icvfinal-s04,5300,10.01,71.4,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",79.75,65.0,1.2269,25,-0.1645,1,1,0.2523,0,1,0,1,168.9
7ea5a2053c63,icvfinal-s03,5300,10.01,71.4,,,,{},78.39,65.0,1.2059,25,-0.225,1,1,0.2501,0,1,0,1,173.1
787775c16ca4,icvfinal-s04,3900,20.0,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",71.42,86.5,0.8257,25,0.1853,1,1,0.0795,0,1,0,1,354.3
8ead93038452,icvfinal-s03,5300,20.0,71.4,,,,{},88.57,83.9,1.0556,26,-0.1808,1,1,0.203,0,1,0,1,0.0
d2be85cf179e,icvfinal-s04,5300,14.99,71.4,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",85.26,75.8,1.1248,25,-0.29,1,1,0.1999,0,1,0,1,181.2
1c583c19344b,icvfinal-s03,5300,14.99,71.4,,,,{},85.06,75.8,1.1222,25,-0.2569,1,1,0.2059,0,1,0,1,193.3
5892296bf643,icvfinal-s03,3900,10.01,150.0,,,,{},60.57,67.9,0.892,25,0.236,1,1,0.1003,0,1,0,1,407.8
1372bee5058c,icvfinal-s04,3900,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",63.87,67.9,0.9406,25,0.119,1,1,0.1099,0,1,0,1,426.8
da587a424d2f,icvfinal-s03,3100,10.01,150.0,,,,{},67.36,79.0,0.8526,25,0.21,1,1,0.0426,0,1,0,1,430.3
6642c308f2c8,icvfinal-s03,6900,20.0,110.0,,,,{},78.29,70.3,1.1136,26,-0.2087,1,1,0.1572,0,1,0,1,0.1
3ba0d328c59c,icvfinal-s04,3900,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",67.39,78.6,0.8574,25,0.1697,1,1,0.0706,0,1,0,1,444.9
f5abf13742dc,icvfinal-s04,3100,10.01,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",67.64,79.0,0.8561,25,0.1671,1,1,0.0304,0,1,0,1,470.0
08ca832fbdbf,icvfinal-s03,3900,14.99,150.0,,,,{},68.02,78.6,0.8654,25,0.1196,1,1,0.1035,0,0,0,0,479.3
d55434146896,icvfinal-s04,3100,14.99,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",72.34,90.2,0.802,25,0.1964,1,1,0.1024,0,1,0,1,484.8
20e96feb5725,icvfinal-s04,3100,20.0,150.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",71.82,95.5,0.752,25,0.1775,1,1,0.0378,0,1,0,1,534.7
3d456e89e5c0,icvfinal-s03,6900,14.99,110.0,,,,{},71.52,62.9,1.1371,29,-0.1931,1,1,0.1745,0,1,0,1,143.0
4d12d0adf886,icvfinal-s04,5300,20.0,71.4,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",87.97,83.9,1.0485,27,0.2373,1,1,0.2016,0,1,0,1,207.5
1cf694d1909c,icvfinal-s04,6900,20.0,110.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",78.01,70.3,1.1096,29,-0.1879,1,1,0.1609,0,1,0,1,149.3
23bcc128e2c0,icvfinal-s04,6900,14.99,110.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",73.09,62.9,1.1621,27,-0.2705,1,1,0.1761,0,1,0,1,157.0
bc45622ad8bc,icvfinal-s04,6900,10.01,110.0,,,,"{""intake.eq_tube.icv_sigma"": 0.4}",45.71,52.8,0.8657,26,0.173,1,1,0.2337,0,1,0,1,227.2
fc2e80d68d01,icvfinal-s03,6900,10.01,110.0,,,,{},42.94,52.8,0.8132,25,0.1769,1,1,0.2518,0,1,0,1,240.5
0e79e37b26ee,icvfinal-s03,3100,14.99,150.0,,,,{},404.11,90.2,4.4801,10,47.4281,0,0,11.0041,3,0,1,0,2406.2
