id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
b0b0646aea66,sigB-p30,6900,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},46.17,80.5,0.5735,25,0.0969,1,1,0.2554,0,1,0,1,202.2
26e754a36b63,sigB-p20,6900,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},39.69,70.3,0.5646,25,0.1762,1,1,0.2832,0,1,0,1,214.6
08ffcc51fcf6,sigB-p45,5300,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},66.93,101.9,0.6568,25,0.2523,1,1,0.1014,0,1,0,1,218.0
bf4e92b557ca,sigB-p30,5300,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},59.51,93.3,0.6378,25,0.1587,1,1,0.2119,0,1,0,1,250.2
94e6d182b274,sigB-p20,5300,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},53.16,83.9,0.6336,25,0.039,1,1,0.2541,0,1,0,1,286.3
4f69f3434edb,sigB-p45,3900,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},70.23,105.3,0.6669,25,0.2003,1,1,0.0762,0,1,0,1,366.7
bae018bf53ab,sigB-p30,3900,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},63.37,97.6,0.6492,25,0.2185,1,1,0.1341,0,1,0,1,375.1
0820e4e8cbc4,sigB-p20,3900,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},57.17,86.5,0.661,25,0.1886,1,1,0.1465,0,1,0,1,387.4
fba47871d982,sigB-p20,3100,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},61.11,95.5,0.6399,25,0.292,1,1,0.0199,0,1,0,1,402.9
b4d8698c7498,sigB-p45,6900,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},68.32,92.1,0.7418,42,0.1853,1,1,0.1637,0,1,0,1,415.0
fc7b580b3493,sigB-p30,3100,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},68.86,97.0,0.7099,25,0.2159,1,1,0.0238,0,1,0,1,435.5
f55f655c0289,sigB-p45,3100,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},72.31,98.1,0.7371,26,0.2224,1,1,0.0373,0,1,0,1,439.5
1411c5884039,sigB-p65,3900,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},72.75,111.8,0.6507,25,0.2068,1,1,0.1896,0,1,0,1,305.4
e0159fc81c16,sigB-p65,3100,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},75.88,99.4,0.7634,25,0.2412,1,1,0.0849,0,1,0,1,321.6
fda9e96ffe81,sigB-p65,5300,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},74.48,107.3,0.6942,27,0.2621,1,1,0.0552,0,1,0,1,313.5
6f5c5af67c1b,sigB-p65,6900,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},79.36,101.2,0.7842,39,-0.0943,1,1,0.0661,0,1,0,1,333.7
02530e0d7870,sigB-p85,6900,85.0,170.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},96.28,106.0,0.9083,34,0.1548,1,1,0.0738,0,1,0,1,249.1
dfe848a32222,sigB-p85,5300,85.0,155.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},108.71,110.1,0.9874,43,0.2543,1,1,0.0204,0,1,0,1,386.0
f2de397bad49,sigB-p85,3100,85.0,130.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},60.27,103.7,0.5812,25,0.1821,1,0,0.7935,1,1,0,0,559.7
9aedd25ab738,sigB-p85,3900,85.0,130.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},84.91,115.7,0.7339,55,0.2985,1,1,0.0073,0,1,0,1,631.6
ee4355334a16,sigB-p30,6900,30.0,150.0,,,"[[0.0, 0.10644], [1.0, 0.10644]]",{},58.94,80.5,0.7322,25,0.1847,1,1,0.1848,0,1,0,1,177.1
ea40655ffe40,sigB-p45,6900,45.0,150.0,,,"[[0.0, 0.31065], [1.0, 0.31065]]",{},66.85,92.1,0.7258,25,0.1866,1,1,0.0614,0,1,0,1,217.3
