id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
1d34f9859ed5,meas-rail,6900,20.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",35.15,70.3,0.4999,25,0.1307,1,1,0.2894,0,1,0,1,205.5
6ef94c75d34d,meas-plenum,6900,20.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",31.84,70.3,0.453,25,0.1639,1,1,0.0061,0,1,0,1,226.0
55d40f1fa022,meas-plenum,6900,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",110.56,106.0,1.043,39,0.2757,1,1,0.0125,0,1,0,1,273.4
195f5b271204,meas-rail,5300,45.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",66.49,101.9,0.6525,25,0.1827,1,1,0.1428,0,1,0,1,274.6
535546937b91,meas-plenum,5300,45.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",61.06,101.9,0.5992,27,0.2354,1,1,0.0561,0,1,0,1,317.7
de62bec732f2,meas-rail,6900,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",120.03,106.0,1.1323,34,0.0793,1,1,0.0259,0,1,0,1,329.0
34d95189e525,meas-plenum,2700,20.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",56.58,92.5,0.6116,25,0.2926,1,1,0.0062,0,1,0,1,450.8
57a5fb9acae5,meas-plenum,2700,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",59.83,103.7,0.577,25,-0.0423,1,1,0.0875,0,1,0,1,450.8
5824cc182cb2,meas-rail,2700,20.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",68.38,92.5,0.7392,25,0.1593,1,1,0.1594,0,1,0,1,0.0
d1b65c2c12cd,meas-rail-tap21,6900,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.rail_tap_diameter"": 21, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",159.07,106.0,1.5006,28,-0.0143,1,0,0.9466,1,0,0,0,0.3
a2421e57d0a7,meas-rail-tap21,2700,20.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.rail_tap_diameter"": 21, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",68.29,92.5,0.7383,25,0.2237,1,1,0.1068,0,1,0,1,0.0
292d67bb33f5,meas-rail,2700,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",103.38,103.7,0.9969,29,-0.1164,1,0,0.9965,1,1,0,0,1311.2
