id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
987fd3a2b549,a0.2-pert,3900,100.0,145.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",68.7,115.7,0.5937,25,0.0969,1,1,0.0374,0,1,0,1,423.4
1226818ba087,a0.2-pert,3900,100.0,155.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",65.44,115.7,0.5656,25,0.0351,1,1,0.074,0,1,0,1,439.6
c8608f242458,a0.2,6900,100.0,150.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",106.58,106.0,1.0055,43,0.1626,1,1,0.0131,0,1,0,1,443.7
8e9f9f989e6e,a0.2,6300,100.0,150.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",108.26,108.7,0.996,44,0.238,1,1,0.0066,0,1,0,1,537.7
cba06f4b2612,a0.2,5300,100.0,150.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",85.5,110.1,0.7766,44,0.4935,0,1,0.0055,0,1,0,0,542.9
9fcd5675f688,a0.2,2700,100.0,150.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",69.16,103.7,0.6669,25,0.013,1,1,0.1089,0,1,0,1,568.6
6f9c4f3da498,a0.2-pert,5300,100.0,145.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",94.1,110.1,0.8546,44,0.6314,0,1,0.0073,0,1,0,0,622.3
5a0c338fd365,a0.2,3900,100.0,150.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",80.42,115.7,0.6951,36,0.2978,1,1,0.0234,0,1,0,1,681.5
bb7bdeca869d,a0.2,4600,100.0,150.0,0.2,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",81.82,111.3,0.7352,44,0.6125,0,1,0.0229,0,1,0,0,768.3
7aedec98cbef,a0.3,6300,100.0,150.0,0.3,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",119.28,108.7,1.0973,34,0.0065,1,1,0.0099,0,1,0,1,306.5
