id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
5a660bbf4b1b,bf150,5300,100.0,150.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",113.14,110.1,1.0276,32,0.1554,1,1,0.0025,0,1,0,1,363.6
117e1a519a9c,bf130,4600,100.0,130.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",119.51,111.3,1.0738,32,0.1691,1,1,0.0035,0,1,0,1,375.6
a716e18f52e6,bf130,5300,100.0,130.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",111.94,110.1,1.0167,32,-0.0182,1,1,0.2101,0,1,0,1,383.9
c63c392316a2,bf170,3900,100.0,170.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",65.8,115.7,0.5687,25,0.0111,1,1,0.0264,0,1,0,1,424.5
ac691cdc25d7,bf170,5300,100.0,170.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",91.88,110.1,0.8345,36,0.2055,1,1,0.009,0,1,0,1,476.4
b7a97802473d,bf150,4600,100.0,150.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",104.06,111.3,0.9349,36,0.2393,1,1,0.1504,0,1,0,1,509.3
0714cdc11428,bf170,2700,100.0,170.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",67.23,103.7,0.6483,25,0.0403,1,1,0.0583,0,1,0,1,536.9
45e21d013806,bf150,2700,100.0,150.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",73.82,103.7,0.7118,25,0.1196,1,1,0.0111,0,1,0,1,549.7
391bc92236b8,bf130,3900,100.0,130.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",91.52,115.7,0.791,44,0.3128,0,1,0.0068,0,1,0,0,623.3
9a4f409321df,bf130,6300,100.0,130.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",126.04,108.7,1.1596,33,0.0228,1,1,0.0118,0,1,0,1,282.7
7edb626c57ba,bf130,6900,100.0,130.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",127.59,106.0,1.2037,34,0.0754,1,1,0.0162,0,1,0,1,262.5
b920a98c2491,bf170,6300,100.0,170.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",110.72,108.7,1.0186,40,0.0488,1,1,0.0152,0,1,0,1,412.9
16b5b4c9baf5,bf-pert,3900,100.0,145.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",72.42,115.7,0.626,25,0.2432,1,1,0.0375,0,1,0,1,327.6
726331977542,bf170,6900,100.0,170.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",109.78,106.0,1.0357,33,0.2549,1,1,0.0273,0,1,0,1,356.6
94bb033479aa,bf150,6300,100.0,150.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",71.42,108.7,0.6571,33,0.1066,1,1,0.0495,0,1,0,1,498.7
6399a2ad7cff,bf-pert,5300,100.0,145.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",117.44,110.1,1.0667,30,0.2679,1,1,0.0039,0,1,0,1,270.9
ea848dc3ffd0,bf150,6900,100.0,150.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",120.96,106.0,1.1411,40,0.1105,1,1,0.0257,0,1,0,1,486.0
ef85e6aae33a,bf-pert,5300,100.0,155.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",112.62,110.1,1.0229,41,0.1691,1,1,0.0019,0,1,0,1,356.9
cd29fa549c93,bf170,4600,100.0,170.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",71.18,111.3,0.6395,39,0.2783,1,0,0.9958,1,1,0,0,1015.5
8bc37b8678f6,bf-pert,3900,100.0,155.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",79.13,115.7,0.6839,34,0.2601,1,1,0.0214,0,1,0,1,474.0
87c92bd0b5e0,bf130,2700,100.0,130.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",87.45,103.7,0.8433,43,0.2783,1,1,0.0144,0,1,0,1,1031.8
b4690a6666c1,bf150,3900,100.0,150.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",389.72,115.7,3.3683,44,-61.7833,0,0,1.3585,3,1,1,0,1560.1
ac8c1a8ebcc0,bref,4600,100.0,141.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",117.84,111.3,1.0588,33,0.1021,1,1,0.0068,0,1,0,1,340.1
0075ed432ec0,bref,2700,100.0,106.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",76.06,103.7,0.7335,25,0.2868,1,1,0.0044,0,1,0,1,424.9
98ff0de3d15e,bref,3900,100.0,112.0,0.4,,,"{""intake.eq_tube.model"": ""rail"", ""intake.eq_tube.stub_friction"": 0.1, ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",68.58,115.7,0.5928,25,0.2601,1,1,0.0338,0,1,0,1,445.0
