id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
05937b1e69cf,p3-plenum,2700,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",59.83,103.7,0.577,25,-0.0423,1,1,0.0875,0,1,0,1,0.0
76fab1b73f06,p3-plenum,6900,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",110.56,106.0,1.043,39,0.2757,1,1,0.0125,0,1,0,1,0.0
1f9eba2a5483,p3-rail,6900,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",120.03,106.0,1.1323,34,0.0793,1,1,0.0259,0,1,0,1,0.1
e16992fb30ea,p3-rail,5300,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",116.99,110.1,1.0626,31,0.039,1,1,0.0055,0,1,0,1,331.5
84454aef181e,p3-plenum,6300,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",110.21,108.7,1.0139,35,-0.1834,1,1,0.0245,0,1,0,1,382.3
7f488aa9b5c5,p3-rail,6300,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",119.36,108.7,1.0981,35,0.0923,1,1,0.0174,0,1,0,1,396.4
51dd34173f67,p3-rail,3900,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",73.9,115.7,0.6388,25,0.1229,1,1,0.0274,0,1,0,1,473.4
9a00af29f7fa,p3-plenum,5300,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",102.82,110.1,0.9339,43,0.2139,1,1,0.0238,0,1,0,1,527.0
9f43c16d9105,p3-rail,4600,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",105.71,111.3,0.9498,36,0.2647,1,1,0.0055,0,1,0,1,554.7
255ed8af70ba,p3-plenum,4600,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",86.74,111.3,0.7793,51,0.2699,1,1,0.0213,0,1,0,1,803.7
6f335c5e1743,p3-rail,2700,100.0,150.0,,,,"{""intake.eq_tube.model"": ""rail"", ""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",103.38,103.7,0.9969,29,-0.1164,1,0,0.9965,1,1,0,0,0.3
13c2c4ca391a,p3-plenum,3900,100.0,150.0,,,,"{""intake.inlet.duct_diameter"": 190, ""intake.inlet.duct_length"": 400, ""intake.inlet.exit_height"": 190, ""intake.inlet.exit_width"": 550, ""intake.plenum_vol"": 22.9, ""intake.runner.lower_length"": 60, ""intake.runner.upper_length"": 10}",67.21,115.7,0.5809,25,0.0663,1,1,0.1369,0,1,0,1,0.0
