id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
0f3438c15852,s120_2900_in_i+10e+35,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",0.0,73.1,0.0,0,,0,1,,,0,0,0,12.3,nan,
2c976f871d03,s120_2900_ex_i+10e+39,2900,100.0,80.0,89.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",0.0,73.1,0.0,0,,0,1,,,0,0,0,12.3,nan,
d978838ef0fe,s120_2900_ex_i+10e+43,2900,100.0,80.0,85.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",0.0,73.1,0.0,0,,0,1,,,0,0,0,12.5,nan,
ff2bd91f7e72,s120_2900_ex_i+10e+31,2900,100.0,80.0,97.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",0.0,73.1,0.0,0,,0,1,,,0,0,0,12.5,nan,
fb885c55d813,s120_3100_in_i+10e+41,3100,100.0,80.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",0.0,68.4,0.0,0,,0,1,,,0,0,0,12.3,nan,
074c90e50493,s120_3100_ex_i+0e+45,3100,100.0,70.0,83.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",103.12,68.4,1.5076,39,0.0268,1,1,0.0158,0,1,0,1,719.3,natural,0.31
9ca0821401b3,s120_3100_in_i+0e+41,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",103.1,68.4,1.5074,39,0.0041,1,1,0.0143,0,1,0,1,748.4,natural,0.07
c311b10c8d96,s120_2900_in_i+30e+35,2900,100.0,100.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",96.6,73.1,1.3214,39,-0.0007,1,1,0.0184,0,1,0,1,844.9,natural,0.02
f37823882975,s120_3100_ex_i+0e+37,3100,100.0,70.0,91.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",103.02,68.4,1.5061,39,0.0076,1,1,0.0141,0,1,0,1,830.5,natural,0.07
303dc393a002,s120_3100_in_i+20e+41,3100,100.0,90.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",100.4,68.4,1.4678,39,0.0131,1,1,0.0102,0,1,0,1,842.9,natural,0.18
6a2dd77dbd97,s120_3900_in_i+10e+41,3900,100.0,80.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",93.54,129.5,0.7223,1,,0,1,0.0793,0,0,0,0,12.2,nan,0.0
e90401e5f937,s120_2900_in_i+25e+35,2900,100.0,95.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",98.41,73.1,1.3462,39,0.0055,1,1,0.0109,0,1,0,1,883.2,natural,0.08
3f40dde4c4a1,s120_3100_in_i+15e+41,3100,100.0,85.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",101.43,68.4,1.4829,39,-0.0179,1,1,0.0091,0,1,0,1,878.3,natural,0.27
126cee1d44e0,s120_3100_in_i+5e+41,3100,100.0,75.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": ""94480"", ""environment.ambient_temp"": ""298.15"", ""intake.eq_tube.model"": ""plenum""}",102.76,68.4,1.5023,39,0.0413,1,1,0.0095,0,1,0,1,892.9,natural,0.24
