id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
2b8c5cf79e3a,baseC,2700,20.0,150.0,,,,{},63.68,92.5,0.6884,25,0.253,1,1,0.281,0,1,0,1,426.7
30ce667590bb,baseC,2700,20.0,110.0,,,,{},64.76,92.5,0.7001,25,0.2211,1,1,0.0155,0,1,0,1,458.6
6e102ab2aab9,baseC,3900,20.0,150.0,,,,{},66.34,86.5,0.767,25,0.2048,1,1,0.0129,0,1,0,1,0.0
affa5018cbd2,baseC,2700,64.99,110.0,,,,{},69.06,101.7,0.6791,25,0.1157,1,1,0.0111,0,1,0,1,458.9
5c1d0d3be87b,baseC,2700,45.0,150.0,,,,{},70.15,97.2,0.7217,25,0.0956,1,1,0.0602,0,1,0,1,479.0
4ddded2c6782,baseC,2700,30.0,190.0,,,,{},59.27,95.5,0.6207,25,0.0995,1,1,0.0425,0,1,0,1,479.1
05df0044bf2b,baseC,2700,64.99,190.0,,,,{},61.97,101.7,0.6094,25,0.0832,1,1,0.0246,0,1,0,1,491.0
51734f2c535c,baseC,2700,64.99,150.0,,,,{},70.71,101.7,0.6952,25,0.2081,1,1,0.2465,0,1,0,1,491.2
742decfe61e0,baseC,2700,30.0,150.0,,,,{},67.59,95.5,0.7078,25,0.0618,1,1,0.0693,0,1,0,1,495.0
38133f034e90,baseC,2700,30.0,110.0,,,,{},66.09,95.5,0.692,25,0.1723,1,1,0.0271,0,1,0,1,499.2
47da73ac9d99,baseC,2700,20.0,190.0,,,,{},59.94,92.5,0.648,25,0.0163,1,1,0.0179,0,1,0,1,502.8
3f5feda569a6,baseC,2700,45.0,190.0,,,,{},60.73,97.2,0.6248,25,0.0826,1,1,0.0341,0,1,0,1,511.0
03cdf7dd1d6c,baseC,3900,64.99,190.0,,,,{},0.0,111.8,0.0,0,,0,1,,,0,0,0,289.0
87eaa3035e81,baseC,3900,30.0,190.0,,,,{},57.55,97.6,0.5897,25,0.1066,1,1,0.0388,0,1,0,1,329.7
ef6709faf792,baseC,3900,20.0,190.0,,,,{},56.98,86.5,0.6587,25,-0.0098,1,1,0.0457,0,1,0,1,354.0
b68c84b6ed62,baseC,3900,64.99,150.0,,,,{},69.77,111.8,0.624,25,0.1196,1,1,0.0269,0,1,0,1,313.9
1d460c5ee7e2,baseC,3900,45.0,150.0,,,,{},71.01,105.3,0.6744,25,0.251,1,1,0.1996,0,1,0,1,350.2
38a76c4b8ea2,baseC,4600,20.0,190.0,,,,{},59.07,84.2,0.7016,25,0.0065,1,1,0.2741,0,1,0,1,285.6
7281872aefd6,baseC,3900,30.0,150.0,,,,{},80.01,97.6,0.8198,43,0.2848,1,1,0.0284,0,1,0,1,655.6
a20b67e4c282,baseC,4600,20.0,150.0,,,,{},64.77,84.2,0.7692,25,0.2588,1,1,0.0558,0,1,0,1,333.7
0b3922bb9e8a,baseC,4600,30.0,190.0,,,,{},64.53,95.4,0.6764,25,0.1749,1,1,0.2257,0,1,0,1,313.7
f50e174f0dcb,baseC,4600,20.0,110.0,,,,{},103.04,84.2,1.2238,41,0.2744,1,1,0.1509,0,1,0,1,442.2
925f83081350,baseC,4600,30.0,110.0,,,,{},121.05,95.4,1.2689,44,0.1112,1,1,0.0469,0,1,0,1,434.3
996cb7af2b91,baseC,3900,30.0,110.0,,,,{},109.85,97.6,1.1255,56,0.2556,1,1,0.2101,0,1,0,1,853.1
a94aaf25c9d7,baseC,3900,20.0,110.0,,,,{},55.43,86.5,0.6408,5,-14.2017,0,0,23.8459,1,0,0,0,902.7
b65e81832c41,baseC,5300,20.0,150.0,,,,{},62.45,83.9,0.7444,25,0.158,1,1,0.1164,0,1,0,1,0.1
511ce8deb739,baseC,3900,45.0,110.0,,,,{},92.82,105.3,0.8815,59,0.2608,1,1,0.0045,0,1,0,1,868.2
2add5152a6ee,baseC,3900,45.0,190.0,,,,{},0.0,105.3,0.0,0,,0,1,,,0,0,0,901.1
5546f4026c9e,baseC,4600,30.0,150.0,,,,{},91.82,95.4,0.9625,45,0.2796,1,1,0.0127,0,1,0,1,571.1
45c90d9866aa,baseC,4600,45.0,190.0,,,,{},66.04,104.1,0.6343,25,0.1801,1,1,0.2161,0,1,0,1,329.7
08a4790e51dc,baseC,4600,64.99,190.0,,,,{},68.48,108.9,0.6288,25,0.2406,1,1,0.212,0,1,0,1,273.5
9ccc02b87a61,baseC,4600,45.0,110.0,,,,{},119.53,104.1,1.1482,42,0.2978,1,1,0.0462,0,1,0,1,430.3
2af106b110dd,baseC,4600,64.99,110.0,,,,{},120.43,108.9,1.1059,37,0.1626,1,1,0.0084,0,1,0,1,398.1
030942e5c7ca,baseC,5300,20.0,190.0,,,,{},52.91,83.9,0.6306,25,0.0104,1,1,0.1618,0,1,0,1,297.6
6d8270c69a4e,baseC,5300,30.0,190.0,,,,{},59.05,93.3,0.6329,25,0.1502,1,1,0.0184,0,1,0,1,233.4
064ff7e63d2f,baseC,5300,30.0,110.0,,,,{},115.95,93.3,1.2427,35,0.1873,1,1,0.0664,0,1,0,1,293.4
e6db4f23fd14,baseC,4600,45.0,150.0,,,,{},110.51,104.1,1.0616,52,0.2647,1,1,0.046,0,1,0,1,559.0
0ca81e29e103,baseC,5300,45.0,110.0,,,,{},115.3,101.9,1.1315,34,0.2686,1,1,0.0656,0,1,0,1,301.8
2395eaa796d3,baseC,5300,20.0,110.0,,,,{},101.63,83.9,1.2113,32,0.1866,1,1,3.2853,0,1,0,1,406.3
f9849139cbf8,baseC,5300,64.99,110.0,,,,{},121.81,107.3,1.1352,31,0.0247,1,1,0.0122,0,1,0,1,277.4
0f8ea2b8009a,baseC,5300,45.0,150.0,,,,{},106.36,101.9,1.0438,39,0.158,1,1,0.0726,0,1,0,1,374.0
bc519105a247,baseC,6300,20.0,150.0,,,,{},58.81,75.4,0.78,25,0.2621,1,1,0.1838,0,1,0,1,205.2
c86be5d8ab33,baseC,5300,45.0,190.0,,,,{},87.48,101.9,0.8585,32,0.2907,1,1,0.172,0,1,0,1,357.7
fcbb65cb56b4,baseC,4600,64.99,150.0,,,,{},104.03,108.9,0.9553,41,0.2321,1,1,0.1707,0,1,0,1,717.5
65c9f3282332,baseC,5300,30.0,150.0,,,,{},90.28,93.3,0.9677,50,0.2595,1,1,0.0451,0,1,0,1,567.5
c3d131f1caaa,baseC,6300,30.0,150.0,,,,{},102.23,84.8,1.2055,37,0.2595,1,1,0.091,0,1,0,1,293.8
e6071da5d765,baseC,6300,30.0,190.0,,,,{},60.17,84.8,0.7096,25,0.0566,1,1,0.02,0,1,0,1,233.5
91f6c598bf0c,baseC,6300,20.0,110.0,,,,{},93.94,75.4,1.246,49,0.2946,1,1,0.1306,0,1,0,1,406.4
f6ccbf761702,baseC,6900,20.0,150.0,,,,{},57.39,70.3,0.8164,25,0.2367,1,1,0.1972,0,1,0,1,0.0
b67a08081d67,baseC,6300,30.0,110.0,,,,{},120.53,84.8,1.4213,39,0.2569,1,1,0.0834,0,1,0,1,346.2
e9566f08fc17,baseC,5300,64.99,150.0,,,,{},96.76,107.3,0.9017,47,0.2855,1,1,0.0032,0,1,0,1,454.9
2837f53d7d22,baseC,6300,45.0,190.0,,,,{},60.41,95.5,0.6326,25,0.0507,1,1,0.023,0,1,0,1,253.5
f1150b3f9163,baseC,6300,45.0,110.0,,,,{},119.46,95.5,1.2509,40,0.2035,1,1,0.0876,0,1,0,1,313.5
cf3c848bb6db,baseC,6300,45.0,150.0,,,,{},101.67,95.5,1.0646,37,0.2334,1,1,0.0896,0,1,0,1,350.0
5cba2a2108da,baseC,5300,64.99,190.0,,,,{},82.69,107.3,0.7706,44,0.2731,1,1,0.0332,0,1,0,1,608.1
c2545b3d2643,baseC,6300,64.99,150.0,,,,{},116.27,104.4,1.1137,32,0.0442,1,1,0.0091,0,1,0,1,301.6
4300cc979670,baseC,6900,20.0,110.0,,,,{},106.78,70.3,1.5189,25,0.0741,1,1,2.5162,0,1,0,1,237.2
1767cb8cabe4,baseC,6900,20.0,190.0,,,,{},45.87,70.3,0.6526,25,0.2861,1,1,0.2662,0,1,0,1,245.3
bb0996e0212d,baseC,6300,64.99,110.0,,,,{},117.41,104.4,1.1246,34,0.2152,1,1,0.2599,0,1,0,1,370.3
2e1dfdbef88b,baseC,6900,30.0,150.0,,,,{},96.71,80.5,1.2014,34,0.2536,1,1,0.098,0,1,0,1,301.7
ad94a42aa925,baseC,6900,30.0,110.0,,,,{},119.66,80.5,1.4864,39,0.2595,1,1,0.0787,0,1,0,1,317.5
e5177a2acd70,baseC,6900,30.0,190.0,,,,{},56.65,80.5,0.7037,25,0.1522,1,1,0.0369,0,1,0,1,257.3
