id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
d3849fcd8fbf,recheckE,3900,20.0,150.0,,,,{},66.34,86.5,0.767,25,0.2048,1,1,0.0129,0,1,0,1,0.0
020172e1429e,recheckE,5300,20.0,140.8,,,,{},78.53,83.9,0.936,53,0.2881,1,1,0.187,0,1,0,1,0.0
a7e0c34c3f6a,recheckE,6900,20.0,150.0,,,,{},57.39,70.3,0.8164,25,0.2367,1,1,0.1972,0,1,0,1,0.0
34a37f2089fd,recheckE,6900,14.99,150.0,,,,{},52.03,62.9,0.8271,25,0.0462,1,1,0.2063,0,1,0,1,198.9
cb907b3a2ea3,recheckE,5300,14.99,140.8,,,,{},59.97,75.8,0.7912,25,0.2647,1,1,0.1046,0,1,0,1,246.9
1ea6dd411834,recheckE,5300,10.01,140.8,,,,{},55.31,65.0,0.851,25,-0.015,1,1,0.1147,0,1,0,1,260.4
3d10a48acb89,recheckE,3900,10.01,150.0,,,,{},61.2,67.9,0.9013,25,-0.002,1,1,0.0351,0,1,0,1,312.4
194eeda0b97c,recheckE,3900,14.99,150.0,,,,{},63.36,78.6,0.8061,25,0.0735,1,1,0.0127,0,1,0,1,388.6
dac37c422d66,recheckE,2900,14.99,75.0,,,,{},87.51,90.1,0.9713,51,0.4168,0,1,0.0683,0,1,0,0,900.2
1c94118041b5,recheckE,2900,20.0,75.0,,,,{},84.86,94.1,0.9018,48,0.4409,0,1,0.0082,0,1,0,0,903.6
ee53ee5aec36,recheckE,2900,10.01,75.0,,,,{},359.16,79.2,4.5349,1,,0,1,14.735,0,0,1,0,906.5
14f8728aa573,recheckE,6900,10.01,150.0,,,,{},507.27,52.8,9.6074,3,,0,0,2.1658,3,1,1,0,906.5
