id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
b0b0646aea66,sigB-p30,6900,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},45.27,80.5,0.5623,25,-0.0988,1,1,0.2513,0,1,0,1,452.5
26e754a36b63,sigB-p20,6900,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},39.57,70.3,0.5628,26,-0.1808,1,1,0.2711,0,1,0,1,480.7
bf4e92b557ca,sigB-p30,5300,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},89.1,93.3,0.9549,25,-0.0904,1,1,1.2422,0,1,0,1,549.2
08ffcc51fcf6,sigB-p45,5300,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},64.3,101.9,0.631,25,0.2777,1,1,0.127,0,1,0,1,560.9
94e6d182b274,sigB-p20,5300,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},46.1,83.9,0.5495,25,0.0332,1,1,0.1929,0,1,0,1,565.4
bae018bf53ab,sigB-p30,3900,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},58.97,97.6,0.6042,25,-0.0423,1,1,0.0749,0,1,0,1,719.1
9aedd25ab738,sigB-p85,3900,85.0,130.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},84.91,115.7,0.7339,55,0.2985,1,1,0.0073,0,1,0,1,0.1
dfe848a32222,sigB-p85,5300,85.0,155.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},108.71,110.1,0.9874,43,0.2543,1,1,0.0204,0,1,0,1,0.1
02530e0d7870,sigB-p85,6900,85.0,170.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},96.28,106.0,0.9083,34,0.1548,1,1,0.0738,0,1,0,1,0.2
4f69f3434edb,sigB-p45,3900,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},65.67,105.3,0.6236,25,0.0702,1,1,0.0372,0,1,0,1,759.2
0820e4e8cbc4,sigB-p20,3900,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},54.31,86.5,0.6279,25,-0.0312,1,1,0.1149,0,1,0,1,771.6
b4d8698c7498,sigB-p45,6900,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},72.11,92.1,0.783,45,0.2334,1,1,0.1319,0,1,0,1,827.4
baf75bdee6fe,sigB-p20,2900,20.0,150.0,,,"[[0.0, 0.01308], [1.0, 0.01308]]",{},60.53,94.1,0.6433,25,0.0137,1,1,0.034,0,1,0,1,883.0
f45ba5c5d145,sigB-p45,2900,45.0,150.0,,,"[[0.0, 0.10355], [1.0, 0.10355]]",{},65.96,98.7,0.6683,25,0.1073,1,1,0.011,0,1,0,1,887.3
d84b31100157,sigB-p30,2900,30.0,150.0,,,"[[0.0, 0.03548], [1.0, 0.03548]]",{},62.11,96.1,0.6463,24,0.0,1,1,0.0341,0,1,0,1,903.7
6f5c5af67c1b,sigB-p65,6900,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},94.53,101.2,0.9341,35,0.2666,1,1,0.1134,0,1,0,1,403.3
1411c5884039,sigB-p65,3900,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},75.48,111.8,0.6751,25,0.1008,1,1,0.1371,0,1,0,1,512.7
55d23cee42da,sigB-p65,2900,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},70.55,100.1,0.7048,25,0.1424,1,1,0.029,0,1,0,1,629.4
096a12b4d783,sigB-p85,2900,85.0,130.0,,,"[[0.0, 0.58881], [1.0, 0.58881]]",{},72.01,102.7,0.7012,25,0.2217,1,1,0.0411,0,1,0,1,584.1
fda9e96ffe81,sigB-p65,5300,65.0,150.0,,,"[[0.0, 0.28349], [1.0, 0.28349]]",{},105.7,107.3,0.9851,53,0.2881,1,1,0.1022,0,1,0,1,693.2
e87f7467b0f0,sigB-p45,3900,45.0,150.0,,,"[[0.0, 0.31065], [1.0, 0.31065]]",{},141.56,105.3,1.3443,2,,0,0,1.0569,2,1,1,0,62.4
0037470e95cc,sigB-p20,6900,20.0,150.0,,,"[[0.0, 0.03924], [1.0, 0.03924]]",{},46.15,70.3,0.6565,25,-0.0923,1,1,0.2461,0,1,0,1,254.3
cff4a6c77eb7,sigB-p30,5300,30.0,150.0,,,"[[0.0, 0.10644], [1.0, 0.10644]]",{},64.83,93.3,0.6949,25,0.1301,1,1,0.1042,0,1,0,1,281.9
ea40655ffe40,sigB-p45,6900,45.0,150.0,,,"[[0.0, 0.31065], [1.0, 0.31065]]",{},93.98,92.1,1.0204,39,0.2393,1,1,0.1118,0,1,0,1,330.4
574f58a8809d,sigB-p20,5300,20.0,150.0,,,"[[0.0, 0.03924], [1.0, 0.03924]]",{},55.4,83.9,0.6603,25,-0.0124,1,1,0.1654,0,1,0,1,346.5
93557ffa2360,sigB-p85,2900,85.0,130.0,,,"[[0.0, 0.96], [1.0, 0.96]]",{},88.57,102.7,0.8624,36,0.2959,1,1,0.0148,0,1,0,1,0.1
a7035f1a0ae2,sigB-p85,3900,85.0,130.0,,,"[[0.0, 0.96], [1.0, 0.96]]",{},88.72,115.7,0.7668,49,0.2822,1,1,0.0066,0,1,0,1,0.1
0740b2b11b28,sigB-p85,5300,85.0,155.0,,,"[[0.0, 0.96], [1.0, 0.96]]",{},108.76,110.1,0.9879,29,0.2386,1,1,0.0039,0,1,0,1,0.1
c2fc86a41c65,sigB-p85,6900,85.0,170.0,,,"[[0.0, 0.96], [1.0, 0.96]]",{},110.18,106.0,1.0395,31,0.2159,1,1,0.0277,0,1,0,1,0.1
fbed396b9aa5,sigB-p30,3900,30.0,150.0,,,"[[0.0, 0.10644], [1.0, 0.10644]]",{},67.05,97.6,0.687,25,0.1801,1,1,0.0298,0,1,0,1,378.9
4d0cb1ee2b99,sigB-p45,5300,45.0,150.0,,,"[[0.0, 0.31065], [1.0, 0.31065]]",{},104.19,101.9,1.0225,37,0.1983,1,1,0.0886,0,1,0,1,390.9
ee4355334a16,sigB-p30,6900,30.0,150.0,,,"[[0.0, 0.10644], [1.0, 0.10644]]",{},77.44,80.5,0.962,44,0.1684,1,1,0.132,0,1,0,1,395.1
04c84e030073,sigB-p20,3900,20.0,150.0,,,"[[0.0, 0.03924], [1.0, 0.03924]]",{},62.96,86.5,0.7279,25,-0.0208,1,1,0.1213,0,1,0,1,407.2
f07a5a58bea4,sigB-p30,2900,30.0,150.0,,,"[[0.0, 0.10644], [1.0, 0.10644]]",{},61.49,96.1,0.6398,25,-0.0026,1,1,0.0162,0,1,0,1,463.1
d9cedf44cb80,sigB-p20,2900,20.0,150.0,,,"[[0.0, 0.03924], [1.0, 0.03924]]",{},68.68,94.1,0.7299,25,0.0039,1,1,0.1148,0,1,0,1,470.8
aa19d80a63a9,sigB-p65,2900,65.0,150.0,,,"[[0.0, 0.85047], [1.0, 0.85047]]",{},73.23,100.1,0.7316,25,0.2334,1,1,0.0038,0,1,0,1,422.7
194a153dcde5,sigB-p45,2900,45.0,150.0,,,"[[0.0, 0.31065], [1.0, 0.31065]]",{},70.36,98.7,0.7128,25,0.132,1,1,0.0379,0,1,0,1,495.4
37a4a55d1650,sigB-p65,5300,65.0,150.0,,,"[[0.0, 0.85047], [1.0, 0.85047]]",{},116.36,107.3,1.0845,31,0.2399,1,1,0.0048,0,1,0,1,273.8
f3211dcc561f,sigB-p65,6900,65.0,150.0,,,"[[0.0, 0.85047], [1.0, 0.85047]]",{},119.36,101.2,1.1795,36,0.1567,1,1,0.0218,0,1,0,1,253.9
c67046c3338a,sigB-p65,3900,65.0,150.0,,,"[[0.0, 0.85047], [1.0, 0.85047]]",{},84.95,111.8,0.7598,37,0.266,1,1,0.0637,0,1,0,1,463.3
