id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
6807a49f8242,,2700,20.0,150.0,,,,{},73.53,92.5,0.7949,25,0.2718,1,1,0.0425,0,1,0,1,0.0
6e9c8813fc9f,,2700,30.0,135.0,,,,{},78.57,95.5,0.8227,27,0.0969,1,1,0.038,0,1,0,1,0.0
1cfaf7ef5869,,2700,45.0,131.7,,,,{},83.13,97.2,0.8552,51,0.2959,1,1,0.0367,0,1,0,1,0.0
c94972118209,,2700,64.99,150.0,,,,{},70.71,101.7,0.6952,25,0.2081,1,1,0.2465,0,1,0,1,0.0
94da5b1d82ec,,3900,20.0,150.0,,,,{},68.56,86.5,0.7926,25,0.2575,1,1,0.0459,0,1,0,1,0.0
0daff08f0c9d,,3900,30.0,150.0,,,,{},74.42,97.6,0.7625,25,0.2458,1,1,0.1479,0,1,0,1,0.0
0f1f45ac9e85,,3900,45.0,132.1,,,,{},87.19,105.3,0.828,56,0.2874,1,1,0.0064,0,1,0,1,0.0
925a40c81551,,3900,64.99,110.0,,,,{},89.34,111.8,0.7991,53,0.2894,1,1,0.0037,0,1,0,1,0.0
025224c84e89,,4600,20.0,62.4,,,,{},92.45,84.2,1.098,31,-0.1892,1,1,0.1502,0,1,0,1,0.0
84a7aa325ad2,,4600,30.0,95.0,,,,{},103.41,95.4,1.084,25,-0.2068,1,1,0.0628,0,1,0,1,0.0
7ce403fcbe92,,4600,45.0,132.4,,,,{},102.11,104.1,0.9809,47,0.2965,1,1,0.0265,0,1,0,1,0.0
8828612d2467,,4600,64.99,150.0,,,,{},104.03,108.9,0.9553,41,0.2321,1,1,0.1707,0,1,0,1,0.1
0a8fb8a3dc22,,5300,20.0,71.4,,,,{},88.57,83.9,1.0556,26,-0.1808,1,1,0.203,0,1,0,1,0.0
36149b36ddad,,5300,30.0,125.0,,,,{},101.01,93.3,1.0826,27,-0.2744,1,1,0.1298,0,1,0,1,0.0
396984c65e5b,,5300,45.0,150.0,,,,{},106.36,101.9,1.0438,39,0.158,1,1,0.0726,0,1,0,1,0.0
352bb5e69127,,5300,64.99,150.0,,,,{},96.76,107.3,0.9017,47,0.2855,1,1,0.0032,0,1,0,1,0.0
c5a557c1bdbb,,6300,20.0,115.0,,,,{},80.09,75.4,1.0622,28,-0.2399,1,1,0.1495,0,1,0,1,0.0
8a0ef6b93f65,,6300,30.0,130.0,,,,{},79.56,84.8,0.9382,32,0.091,1,1,0.1181,0,1,0,1,0.0
3c43d8a702b3,,6300,45.0,150.0,,,,{},101.67,95.5,1.0646,37,0.2334,1,1,0.0896,0,1,0,1,0.0
d0d0c489c950,,6300,64.99,150.0,,,,{},116.27,104.4,1.1137,32,0.0442,1,1,0.0091,0,1,0,1,0.0
11cb4d43e690,,6900,20.0,110.0,,,,{},78.29,70.3,1.1136,26,-0.2087,1,1,0.1572,0,1,0,1,0.0
5160e270b1a5,,6900,30.0,130.0,,,,{},80.49,80.5,0.9999,25,0.2894,1,1,0.1119,0,1,0,1,0.0
406a984621cc,,6900,45.0,150.0,,,,{},96.61,92.1,1.049,34,0.2497,1,1,0.0972,0,1,0,1,0.0
d970b15f812d,,6900,64.99,170.1,,,,{},107.85,101.2,1.0657,33,0.1509,1,1,0.0243,0,1,0,1,0.0
