id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
b5951a26acbf,c230x70,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""230"", ""intake.plenum_box.connector_length"": ""70"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",93.65,129.5,0.7232,28,0.2861,1,1,0.075,0,1,0,1,0.1
70ad29479ccb,c230x50,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""230"", ""intake.plenum_box.connector_length"": ""50"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",90.81,129.5,0.7012,25,0.2022,1,1,0.0755,0,1,0,1,597.1
647dee4dffe5,c80x100,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""80"", ""intake.plenum_box.connector_length"": ""100"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",467.86,129.5,3.6128,25,25.487,0,0,0.9994,2,1,1,0,901.3
506edcea8136,c80x150,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""80"", ""intake.plenum_box.connector_length"": ""150"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",1423.57,129.5,10.9928,19,-19.4708,0,0,8.8865,1,1,1,0,901.5
e8f7d0da8429,c70x200,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""70"", ""intake.plenum_box.connector_length"": ""200"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",224.15,129.5,1.7309,25,-19.3876,0,0,2.8917,2,1,1,0,901.9
1f0262b5866e,c230x100,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""230"", ""intake.plenum_box.connector_length"": ""100"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",86.96,129.5,0.6715,27,1.5821,0,1,0.1591,0,1,0,0,902.2
2658ed7bd5a3,c70x100,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""70"", ""intake.plenum_box.connector_length"": ""100"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",571.77,129.5,4.4152,21,-277.721,0,0,11.2108,2,1,1,0,902.3
0194bc9affc4,c70x150,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""70"", ""intake.plenum_box.connector_length"": ""150"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",494.26,129.5,3.8167,21,20.7609,0,0,0.9992,1,1,1,0,902.7
dbfa63fb613c,c230x150,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""230"", ""intake.plenum_box.connector_length"": ""150"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",89.55,129.5,0.6915,43,0.3349,0,1,0.0652,0,1,0,0,902.8
375512928763,c130x200,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""130"", ""intake.plenum_box.connector_length"": ""200"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",88.92,129.5,0.6866,25,0.2751,1,1,0.067,0,1,0,1,331.5
2ab6abd7b276,c130x150,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""130"", ""intake.plenum_box.connector_length"": ""150"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",85.42,129.5,0.6596,25,0.0845,1,1,0.0414,0,1,0,1,380.6
ebf802006e77,c80x200,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""80"", ""intake.plenum_box.connector_length"": ""200"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",446.25,129.5,3.446,29,-13.8993,0,0,0.6705,2,1,1,0,902.8
dc74efb6be06,c100x150,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""100"", ""intake.plenum_box.connector_length"": ""150"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",536.5,129.5,4.1428,27,10.6357,0,0,0.5307,1,1,1,0,900.5
1f44df926b51,c100x200,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""100"", ""intake.plenum_box.connector_length"": ""200"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",220.57,129.5,1.7032,25,-33.8858,0,0,3.6181,2,1,1,0,902.6
3056e4688c01,c130x100,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""130"", ""intake.plenum_box.connector_length"": ""100"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",429.67,129.5,3.3179,24,0.6334,0,0,0.9992,1,1,1,0,903.2
336497dd2ccd,c100x100,3900,100.0,130.0,,,,"{""intake.plenum_box.connector_diameter"": ""100"", ""intake.plenum_box.connector_length"": ""100"", ""intake.plenum_box.model"": ""cells"", ""intake.plenum_box.n_cells"": ""2""}",586.06,129.5,4.5256,25,18.3075,0,0,0.7397,1,1,1,0,904.8
