id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
4fa1260359f2,t4base,5300,30.0,125.0,,,,{},99.15,95.4,1.0393,27,-0.2816,1,1,0.1073,0,1,0,1,116.7
0c0255ae3c8e,t4base,4600,30.0,95.0,,,,{},107.04,99.5,1.0758,27,-0.2972,1,1,0.0759,0,1,0,1,160.9
c9b03f77f4c0,t4base,3900,30.0,150.0,,,,{},73.9,112.6,0.6563,25,0.2549,1,1,0.0509,0,1,0,1,285.7
f1f8f024e050,t4base,6300,65.0,150.01,,,,{},118.62,104.4,1.1362,30,0.2972,1,1,0.0255,0,1,0,1,201.2
dce6f930fb14,t4base,2700,30.0,135.0,,,,{},76.5,71.8,1.0655,26,0.2191,1,1,0.0456,0,1,0,1,374.1
8c49e745313a,t4base,6300,30.0,130.0,,,,{},70.65,86.2,0.8196,32,-0.1892,1,1,0.1293,0,1,0,1,265.2
1ed7179c0598,t4base,2700,65.0,149.99,,,,{},71.54,73.6,0.9721,25,0.1112,1,1,0.0104,0,1,0,1,390.3
d35dce88ab45,t4base,5300,65.0,150.0,,,,{},69.17,112.3,0.6159,34,-0.1079,1,1,0.2072,0,1,0,1,398.2
d069c2f5c757,t4base,4600,65.0,149.99,,,,{},93.73,113.5,0.8258,43,0.29,1,1,0.0047,0,1,0,1,410.5
7794e800192f,t4base,6900,30.0,130.0,,,,{},84.58,80.5,1.0506,29,-0.2341,1,1,0.117,0,1,0,1,165.1
4ab3780ebc02,t4base,6900,65.0,170.1,,,,{},106.44,101.2,1.0518,30,0.2497,1,1,0.0326,0,1,0,1,221.9
b7eaa1f2668e,t4base,3900,65.0,110.01,,,,{},91.08,128.8,0.7072,56,0.279,1,1,0.0054,0,1,0,1,700.8
