id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
262635605644,t4s_4600_65,4600,65.0,132.0,,,,{},116.12,113.5,1.0231,29,0.0312,1,1,0.0052,0,1,0,1,209.8
b6162fe4827d,t4s_5300_65,5300,65.0,130.0,,,,{},120.64,112.3,1.0743,28,0.2946,1,1,0.0115,0,1,0,1,233.5
90cced6b6b5b,t4s_5300_65,5300,65.0,140.0,,,,{},119.86,112.3,1.0673,33,0.0611,1,1,0.0113,0,1,0,1,273.6
d5f834100329,t4s_4600_65,4600,65.0,125.0,,,,{},122.13,113.5,1.076,36,-0.0598,1,1,0.0033,0,1,0,1,350.1
9be51e0e55eb,t4s_5300_65,5300,65.0,170.0,,,,{},112.53,112.3,1.0021,32,0.2282,1,1,0.0208,0,0,0,0,445.3
9efbdb25d18a,t4s_6300_65,6300,65.0,158.0,,,,{},114.23,104.4,1.0941,32,-0.0949,1,1,0.0209,0,1,0,1,243.1
dd1ef8792cf5,t4s_4600_65,4600,65.0,140.0,,,,{},108.35,113.5,0.9546,37,0.225,1,1,0.2009,0,1,0,1,461.0
102268098b70,t4s_6300_65,6300,65.0,165.0,,,,{},111.19,104.4,1.065,32,0.1931,1,1,0.0211,0,1,0,1,243.5
70057a21b7e4,t4s_6300_65,6300,65.0,170.0,,,,{},108.73,104.4,1.0414,33,0.2991,1,1,0.0142,0,1,0,1,247.6
7148543d05af,t4s_5300_65,5300,65.0,160.0,,,,{},83.18,112.3,0.7407,47,0.2933,1,1,0.0124,0,1,0,1,533.1
a19914a38879,t4s_6300_65,6300,65.0,175.0,,,,{},106.8,104.4,1.023,29,0.2848,1,1,0.0194,0,1,0,1,199.2
6b6aa4cbf24f,t4s_6300_30,6300,30.0,110.0,,,,{},100.93,86.2,1.1709,25,-0.1301,1,1,0.1121,0,1,0,1,112.5
6e82b693c3c0,t4s_6300_30,6300,30.0,120.0,,,,{},99.82,86.2,1.158,27,-0.0455,1,1,0.1307,0,1,0,1,108.5
db000e58293f,t4s_4600_65,4600,65.0,160.0,,,,{},98.52,113.5,0.868,58,0.2731,1,1,0.0012,0,1,0,1,621.3
65364fc27d14,t4s_3900_30,3900,30.0,115.0,,,,{},106.51,112.6,0.9459,25,-0.2907,1,1,0.067,0,1,0,1,144.6
080dae3a93a0,t4s_6300_30,6300,30.0,140.0,,,,{},73.22,86.2,0.8495,32,-0.1834,1,1,0.1268,0,1,0,1,216.8
1018c18abfd1,t4s_6300_30,6300,30.0,150.0,,,,{},75.96,86.2,0.8812,30,0.2738,1,1,0.0813,0,1,0,1,204.8
ad28413a5ced,t4s_3900_30,3900,30.0,142.0,,,,{},76.1,112.6,0.6758,25,0.2458,1,1,0.066,0,1,0,1,253.6
0d83f2d494a2,t4s_3900_30,3900,30.0,135.0,,,,{},135.9,112.6,1.2069,25,0.0007,1,0,0.9978,1,1,0,0,475.2
1ddad51a7f54,t4s_3900_30,3900,30.0,125.0,,,,{},102.29,112.6,0.9084,59,0.8844,0,1,0.0499,0,1,0,0,671.4
