id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
821123111ec3,t4val,2700,30.0,135.0,,,,{},76.5,71.8,1.0655,26,0.2191,1,1,0.0456,0,1,0,1,0.0
1b0724364847,t4val,2700,65.0,149.99,,,,{},71.54,73.6,0.9721,25,0.1112,1,1,0.0104,0,1,0,1,0.0
57cab9dc70a3,t4val,3900,30.0,142.0,,,,{},76.1,112.6,0.6758,25,0.2458,1,1,0.066,0,1,0,1,0.0
e86d14022309,t4val,3900,65.0,110.01,,,,{},91.08,128.8,0.7072,56,0.279,1,1,0.0054,0,1,0,1,0.0
a6a3c67df765,t4val,4600,30.0,95.0,,,,{},107.04,99.5,1.0758,27,-0.2972,1,1,0.0759,0,1,0,1,0.0
09e98de79ce3,t4val,4600,65.0,132.0,,,,{},116.12,113.5,1.0231,29,0.0312,1,1,0.0052,0,1,0,1,0.0
68ea4628fddb,t4val,5300,30.0,125.0,,,,{},99.15,95.4,1.0393,27,-0.2816,1,1,0.1073,0,1,0,1,0.0
0d72b84765b3,t4val,5300,65.0,140.0,,,,{},119.86,112.3,1.0673,33,0.0611,1,1,0.0113,0,1,0,1,0.0
e09ef5f7d397,t4val,6300,30.0,120.0,,,,{},99.82,86.2,1.158,27,-0.0455,1,1,0.1307,0,1,0,1,0.0
b5a0bd9262e2,t4val,6300,65.0,175.0,,,,{},106.8,104.4,1.023,29,0.2848,1,1,0.0194,0,1,0,1,0.0
bfcc8b835ed3,t4val,6900,30.0,130.0,,,,{},84.58,80.5,1.0506,29,-0.2341,1,1,0.117,0,1,0,1,0.0
02643bb1b89c,t4val,6900,65.0,170.1,,,,{},106.44,101.2,1.0518,30,0.2497,1,1,0.0326,0,1,0,1,0.1
