id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
00f8deac84eb,duct500,2700,30.0,135.0,,,,"{""intake.inlet.duct_length"": ""500""}",1382.53,71.8,19.2554,1,,0,0,3.2294,3,0,1,0,39.3
c46b56a2ea03,duct450,4600,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""450""}",121.02,118.2,1.0239,30,0.1905,1,1,0.0052,0,1,0,1,306.6
63ff8c28773a,duct550,4600,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""550""}",128.06,118.2,1.0834,35,0.1151,1,1,0.0142,0,1,0,1,342.9
b4d0fc4ab307,duct500,6900,100.0,170.0,,,,"{""intake.inlet.duct_length"": ""500""}",111.67,107.0,1.0436,40,0.1307,1,1,0.0292,0,1,0,1,355.0
c9f8cc75e817,duct600,4600,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""600""}",138.08,118.2,1.1682,44,0.2048,1,1,0.0148,0,1,0,1,374.1
1fbeafeeec84,duct500,5300,100.0,155.0,,,,"{""intake.inlet.duct_length"": ""500""}",116.58,117.1,0.9956,46,0.1918,1,1,0.0052,0,1,0,1,442.8
e682ed4f0310,duct550,2700,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""550""}",72.23,74.8,0.9657,25,0.0429,1,1,0.0163,0,1,0,1,470.7
a5b53b9f5e7c,duct500,2700,65.0,149.99,,,,"{""intake.inlet.duct_length"": ""500""}",69.3,73.6,0.9416,25,0.026,1,1,0.0087,0,1,0,1,470.7
afee0a65540a,duct450,2700,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""450""}",73.77,74.8,0.9862,25,0.1268,1,1,0.011,0,1,0,1,483.6
bc9a017ad8ee,duct600,2700,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""600""}",95.61,74.8,1.2782,33,0.2302,1,1,0.0147,0,1,0,1,503.6
869e04860edb,hdr280,6300,100.0,170.0,,,,"{""exhaust.headers.primary_length"": ""280""}",111.06,109.7,1.0124,35,0.1131,1,1,0.0202,0,1,0,1,261.7
05c0b86dc546,duct500,3900,45.0,132.1,,,,"{""intake.inlet.duct_length"": ""500""}",89.37,121.2,0.7374,40,0.2861,1,1,0.003,0,1,0,1,635.0
ca5616212617,hdr250,6900,100.0,170.0,,,,"{""exhaust.headers.primary_length"": ""250""}",110.97,107.0,1.0371,39,0.2666,1,1,0.0397,0,1,0,1,363.1
3a26e7b558dd,hdr250,5300,100.0,155.0,,,,"{""exhaust.headers.primary_length"": ""250""}",106.1,117.1,0.9061,42,0.2504,1,1,0.0043,0,1,0,1,458.7
5ed34c636343,combo_d500h250,6300,100.0,170.0,,,,"{""exhaust.headers.primary_length"": ""250"", ""intake.inlet.duct_length"": ""500""}",115.16,109.7,1.0498,36,0.2393,1,1,0.0299,0,1,0,1,285.9
f5e5eca80647,combo_d500h250,3900,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""250"", ""intake.inlet.duct_length"": ""500""}",94.24,129.5,0.7278,30,0.2425,1,1,0.0067,0,1,0,1,367.0
0b1a255309ef,hdr280,2700,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""280""}",80.57,74.8,1.0771,25,0.147,1,1,0.0865,0,1,0,1,488.0
9c1849884b58,combo_d500h250,4600,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""250"", ""intake.inlet.duct_length"": ""500""}",746.8,118.2,6.3181,27,0.0098,1,1,11.4293,0,1,1,0,476.3
03a42cbe85a8,combo_d500h250,2700,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""250"", ""intake.inlet.duct_length"": ""500""}",85.86,74.8,1.1478,33,0.2445,1,1,0.011,0,1,0,1,504.3
