id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
a7049c273834,flap700,6300,100.0,170.0,,,,"{""intake.inlet.flap_pipe_length"": ""700""}",114.33,109.7,1.0422,29,0.225,1,1,0.0291,0,1,0,1,265.6
8b802a165926,flap900,3900,100.0,130.0,,,,"{""intake.inlet.flap_pipe_length"": ""900""}",113.7,129.5,0.878,30,-0.0319,1,1,0.0116,0,1,0,1,274.2
db84a4a4ee14,flap700,2700,65.0,149.99,,,,"{""intake.inlet.flap_pipe_length"": ""700""}",106.56,73.6,1.4479,25,0.2647,1,1,0.0109,0,1,0,1,338.9
9432650ecd86,flap900,2700,100.0,130.0,,,,"{""intake.inlet.flap_pipe_length"": ""900""}",110.38,74.8,1.4756,26,0.2341,1,1,0.0155,0,1,0,1,391.1
ec54e4527d78,flap700,3900,100.0,130.0,,,,"{""intake.inlet.flap_pipe_length"": ""700""}",108.28,129.5,0.8362,35,0.0046,1,1,0.0125,0,1,0,1,395.7
a1cf04d5b6f7,flap900,2700,65.0,149.99,,,,"{""intake.inlet.flap_pipe_length"": ""900""}",104.98,73.6,1.4264,30,0.1047,1,1,0.0142,0,1,0,1,402.5
1437bcc77722,flap700,2700,100.0,130.0,,,,"{""intake.inlet.flap_pipe_length"": ""700""}",108.8,74.8,1.4546,26,0.184,1,1,0.0155,0,1,0,1,418.6
a079971e18d9,flap700,4600,100.0,130.0,,,,"{""intake.inlet.flap_pipe_length"": ""700""}",575.58,118.2,4.8695,26,-0.2269,1,1,1.6733,0,1,1,0,595.8
5cd881636dbd,flap900,2700,30.0,135.0,,,,"{""intake.inlet.flap_pipe_length"": ""900""}",105.69,71.8,1.472,50,0.2094,1,1,0.1538,0,1,0,1,905.9
7b9e298e0937,flap700,2700,30.0,135.0,,,,"{""intake.inlet.flap_pipe_length"": ""700""}",107.23,71.8,1.4935,59,0.4259,0,1,0.1328,0,1,0,0,1076.7
