id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
0a3e9f1aa2d8,hdr250,4600,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""250""}",120.19,118.2,1.0169,30,0.1671,1,1,0.0067,0,1,0,1,403.6
6a67385f03ee,hdr450,2700,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""450""}",77.24,74.8,1.0327,25,0.0176,1,1,0.013,0,1,0,1,468.1
a67ca38b5a1e,hdr250,3900,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""250""}",92.9,129.5,0.7174,43,0.2952,1,1,0.0015,0,1,0,1,548.9
5993a1a2894a,hdr450,3900,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""450""}",92.97,129.5,0.7179,34,0.2243,1,1,0.012,0,1,0,1,601.3
06cec7f67214,hdr250,2700,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""250""}",90.71,74.8,1.2127,40,0.2425,1,1,0.0041,0,1,0,1,702.3
411f3db1360b,hdr450,6300,100.0,170.0,,,,"{""exhaust.headers.primary_length"": ""450""}",108.91,109.7,0.9928,33,0.1424,1,1,0.0242,0,1,0,1,340.5
46c0542c2e68,hdr450,4600,100.0,130.0,,,,"{""exhaust.headers.primary_length"": ""450""}",122.49,118.2,1.0363,36,-0.0507,1,1,0.0086,0,1,0,1,437.4
e10336689691,hdr250,6300,100.0,170.0,,,,"{""exhaust.headers.primary_length"": ""250""}",711.25,109.7,6.4836,42,30.5402,0,1,0.2062,0,1,1,0,903.0
2bef9efcfd19,sec1_900,2700,100.0,130.0,,,,"{""exhaust.section1_1.length"": ""900"", ""exhaust.section1_2.length"": ""900""}",78.21,74.8,1.0456,25,0.2347,1,1,0.0091,0,1,0,1,426.6
7f93e971cbd6,sec1_900,6300,100.0,170.0,,,,"{""exhaust.section1_1.length"": ""900"", ""exhaust.section1_2.length"": ""900""}",112.29,109.7,1.0236,32,0.2484,1,1,0.0244,0,1,0,1,231.3
285c36dc0529,sec1_900,4600,100.0,130.0,,,,"{""exhaust.section1_1.length"": ""900"", ""exhaust.section1_2.length"": ""900""}",105.17,118.2,0.8898,52,0.2731,1,1,0.0044,0,1,0,1,498.0
110cd67f01fb,sec1_1500,2700,100.0,130.0,,,,"{""exhaust.section1_1.length"": ""1500"", ""exhaust.section1_2.length"": ""1500""}",77.0,74.8,1.0294,25,0.1866,1,1,0.0135,0,1,0,1,458.6
ea14b83f605b,sec1_1500,3900,100.0,130.0,,,,"{""exhaust.section1_1.length"": ""1500"", ""exhaust.section1_2.length"": ""1500""}",94.24,129.5,0.7278,37,0.2621,1,1,0.0023,0,1,0,1,402.3
5911810edf7b,sec1_1500,6300,100.0,170.0,,,,"{""exhaust.section1_1.length"": ""1500"", ""exhaust.section1_2.length"": ""1500""}",112.31,109.7,1.0238,36,0.0637,1,1,0.0201,0,1,0,1,270.0
41fd2c047c07,sec1_900,3900,100.0,130.0,,,,"{""exhaust.section1_1.length"": ""900"", ""exhaust.section1_2.length"": ""900""}",88.42,129.5,0.6828,54,0.2946,1,1,0.0074,0,1,0,1,739.2
dcc63c399f49,sec1_1500,4600,100.0,130.0,,,,"{""exhaust.section1_1.length"": ""1500"", ""exhaust.section1_2.length"": ""1500""}",102.41,118.2,0.8664,48,0.2816,1,1,0.0053,0,1,0,1,502.7
98adf5282b95,bell120,4600,100.0,130.0,,,,"{""intake.bellmouth.length"": ""120""}",117.69,118.2,0.9957,32,0.1249,1,1,0.009,0,1,0,1,249.2
8a670b185427,bell120,2700,100.0,130.0,,,,"{""intake.bellmouth.length"": ""120""}",69.7,74.8,0.9319,25,-0.0046,1,1,0.0065,0,1,0,1,378.4
15bc520e9b2c,bell120,6300,100.0,170.0,,,,"{""intake.bellmouth.length"": ""120""}",110.12,109.7,1.0039,36,0.0884,1,1,0.0053,0,1,0,1,270.2
f66b7d864ab2,bell220,3900,100.0,130.0,,,,"{""intake.bellmouth.length"": ""220""}",95.09,129.5,0.7343,29,0.266,1,1,0.0223,0,1,0,1,318.3
d9482f8fb3f0,bell220,6300,100.0,170.0,,,,"{""intake.bellmouth.length"": ""220""}",112.32,109.7,1.0239,30,0.2601,1,1,0.051,0,1,0,1,245.5
aa8b54e872b8,bell220,2700,100.0,130.0,,,,"{""intake.bellmouth.length"": ""220""}",75.55,74.8,1.0101,27,0.1983,1,1,0.0762,0,1,0,1,491.0
9cf4456c68b2,duct300,2700,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""300""}",72.54,74.8,0.9698,25,0.0891,1,1,0.011,0,1,0,1,366.3
c508e6c68ac9,bell220,4600,100.0,130.0,,,,"{""intake.bellmouth.length"": ""220""}",120.63,118.2,1.0205,34,0.1275,1,1,0.006,0,1,0,1,394.2
2ca3b9c02aae,bell120,3900,100.0,130.0,,,,"{""intake.bellmouth.length"": ""120""}",373.23,129.5,2.8821,1,,0,0,0.8919,3,0,1,0,903.4
f956348dbe72,duct300,6300,100.0,170.0,,,,"{""intake.inlet.duct_length"": ""300""}",85.33,109.7,0.7779,32,0.2484,1,1,0.0236,0,1,0,1,383.8
e2ba009f502d,duct300,4600,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""300""}",87.03,118.2,0.7363,40,0.2959,1,1,0.0141,0,1,0,1,443.5
889d940b51aa,duct500,4600,100.0,130.0,,,,"{""intake.inlet.duct_length"": ""500""}",122.92,118.2,1.0399,31,0.2042,1,1,0.0066,0,1,0,1,229.8
