id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
013b6855a7b6,fullmap,1100,20.0,150.0,,,,{},84.06,81.4,1.0327,25,0.1639,1,1,0.0429,0,1,0,1,1474.6
d2e75a203ce3,fullmap,870,30.0,135.0,,,,{},88.3,104.2,0.8474,25,0.1463,1,1,0.0621,0,1,0,1,1945.2
e4771bc2fdf3,fullmap,870,20.0,150.0,,,,{},88.78,99.4,0.8931,25,0.1905,1,1,0.0714,0,1,0,1,2361.8
9153a6a9509b,fullmap,870,65.0,149.99,,,,{},70.69,109.3,0.6468,22,0.0033,1,1,0.0289,0,1,0,1,2400.4
897a986eb12d,fullmap,600,30.0,135.0,,,,{},117.38,112.1,1.0471,9,0.0026,1,0,0.996,1,1,0,0,2400.5
8adbba3ef856,fullmap,600,45.0,131.7,,,,{},81.43,113.7,0.7162,16,0.1157,1,1,0.067,0,0,0,0,2404.0
535d1732d5e3,fullmap,870,100.0,130.0,,,,{},55.88,115.7,0.483,15,1.8741,0,0,0.9931,2,1,0,0,2404.0
d35689d75064,fullmap,600,100.0,130.0,,,,{},85.93,120.2,0.7149,17,0.1515,1,1,0.0509,0,0,0,0,2406.3
f6b45d1cff5d,fullmap,1100,30.0,135.0,,,,{},0.0,82.4,0.0,0,,0,1,,,0,0,0,2406.4
7e368d842f91,fullmap,600,65.0,149.99,,,,{},83.38,115.5,0.7219,13,0.8187,0,1,0.01,0,0,0,0,2413.2
d1c8612cf496,fullmap,870,45.0,131.7,,,,{},77.37,106.4,0.7271,24,0.1613,1,1,0.0566,0,1,0,1,2413.2
ba2edae3d1ad,fullmap,600,20.0,150.0,,,,{},86.6,98.5,0.8792,17,0.1008,1,1,0.0374,0,0,0,0,2416.4
c4d8d936fc78,fullmap,1100,45.0,131.7,,,,{},72.28,82.7,0.874,25,0.0819,1,1,0.027,0,1,0,1,1980.6
8048a050d123,fullmap,1400,20.0,150.0,,,,{},80.95,70.4,1.1499,25,0.1912,1,1,0.0469,0,1,0,1,1216.5
9c46082fe0fd,fullmap,1400,30.0,135.0,,,,{},83.32,71.5,1.1653,25,0.2458,1,1,0.0645,0,1,0,1,1211.5
c4a755b2d497,fullmap,1300,100.0,130.0,,,,{},76.51,66.6,1.1488,25,0.0923,1,1,0.1906,0,1,0,1,1520.3
aa36060a4471,fullmap,1100,100.0,130.0,,,,{},75.6,84.9,0.8904,25,0.2341,1,1,0.1286,0,1,0,1,1738.2
4dfe5f0890c3,fullmap,1400,65.0,149.99,,,,{},73.45,75.8,0.969,25,-0.1073,1,1,0.2403,0,1,0,1,1683.6
252967b04fa6,fullmap,1300,65.0,149.99,,,,{},72.5,66.4,1.0918,25,0.1652,1,1,0.0933,0,1,0,1,1799.4
b53a33527752,fullmap,1100,65.0,149.99,,,,{},76.74,83.1,0.9235,29,0.1619,1,1,0.1162,0,1,0,1,2354.2
2e497a788c0f,fullmap,1400,45.0,131.7,,,,{},67.65,73.4,0.9217,27,-0.1502,1,1,0.1945,0,1,0,1,1944.0
d0ba0c376182,fullmap,1300,45.0,131.7,,,,{},61.24,66.4,0.9222,31,-0.0241,1,1,0.1476,0,1,0,1,2260.3
8eae455c898e,fullmap,1300,30.0,135.0,,,,{},9.05,65.6,0.138,2,,0,0,103.2933,3,0,1,0,2405.4
06979bd5ee12,fullmap,1300,20.0,150.0,,,,{},133.74,65.3,2.0481,19,1.0801,0,0,0.9551,1,1,0,0,2406.1
5f46552f1c43,fullmap,1600,20.0,150.0,,,,{},82.27,86.4,0.9522,25,0.1118,1,1,0.1175,0,1,0,1,1396.5
d0116fb6aa16,fullmap,1400,100.0,130.0,,,,{},71.04,78.8,0.9015,25,-0.026,1,1,0.0243,0,1,0,1,1599.5
27d31f1ead80,fullmap,1800,20.0,150.0,,,,{},78.72,69.0,1.1409,25,-0.1515,1,1,0.0984,0,1,0,1,1133.5
5df7bb04a88d,fullmap,1800,45.0,131.7,,,,{},71.03,73.6,0.9651,25,0.1034,1,1,0.0563,0,1,0,1,1085.3
7d13c5be40ef,fullmap,1600,45.0,131.7,,,,{},72.11,95.2,0.7574,25,0.1112,1,1,0.0617,0,1,0,1,1694.7
91355ca516b7,fullmap,1600,100.0,130.0,,,,{},73.85,105.3,0.7013,25,0.0494,1,1,0.0792,0,1,0,1,1580.1
ea2b4ffdc3e3,fullmap,1800,100.0,130.0,,,,{},70.53,81.0,0.8708,25,-0.0072,1,1,0.0144,0,1,0,1,1069.7
479d26635a61,fullmap,2100,20.0,150.0,,,,{},71.87,63.9,1.1248,26,0.2796,1,1,0.0541,0,1,0,1,1089.6
99cb46ab2058,fullmap,1600,30.0,135.0,,,,{},0.0,91.9,0.0,0,,0,1,,,0,0,0,2403.7
74b70ac5735b,fullmap,2100,45.0,131.7,,,,{},66.21,66.3,0.9987,25,-0.1379,1,1,0.2235,0,1,0,1,1097.4
305c45b5feb5,fullmap,1600,65.0,149.99,,,,{},57.31,97.8,0.586,21,0.1301,1,0,0.9938,1,1,0,0,2402.3
376248536d02,fullmap,2100,65.0,149.99,,,,{},71.67,68.5,1.0463,25,0.0845,1,1,0.0152,0,1,0,1,1241.1
31d35aadd84d,fullmap,1800,30.0,135.0,,,,{},68.11,70.9,0.9607,26,2.7597,0,0,0.9943,1,1,0,0,2403.1
0af0bcea9b6c,fullmap,2200,30.0,135.0,,,,{},77.14,74.6,1.0341,26,0.2718,1,1,0.0873,0,1,0,1,1094.6
