id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
017769cf6913,fullmap3,600,20.0,150.0,,,,{},88.58,98.5,0.8993,25,0.2582,1,1,0.0268,0,0,0,0,2.3
71d6161fe11b,fullmap3,600,45.0,131.7,,,,{},82.66,113.7,0.727,25,0.1346,1,1,0.0464,0,0,0,0,1.9
7f5213fd26fb,fullmap3,600,100.0,130.0,,,,{},86.12,120.2,0.7165,25,0.0007,1,1,0.016,0,0,0,0,1.7
519dc0f7633e,fullmap3,870,20.0,150.0,,,,{},88.78,99.4,0.8931,25,0.1905,1,1,0.0714,0,1,0,1,0.0
cd62c7bdfabb,fullmap3,870,45.0,131.7,,,,{},77.51,106.4,0.7284,25,0.1294,1,1,0.0611,0,1,0,1,0.0
8ab9e115fd6f,fullmap3,870,65.0,149.99,,,,{},70.89,109.3,0.6486,25,0.0709,1,1,0.0291,0,1,0,1,0.0
cfeb7b2fc712,fullmap3,870,100.0,170.0,,,,{},75.76,115.7,0.6548,25,0.0598,1,1,0.0183,0,1,0,1,0.0
301d42022dc0,fullmap3,1100,20.0,150.0,,,,{},84.06,81.4,1.0327,25,0.1639,1,1,0.0429,0,1,0,1,0.0
402ee9a7f463,fullmap3,1100,30.0,160.0,,,,{},84.05,82.4,1.0201,25,0.2933,1,1,0.0592,0,1,0,1,0.0
1a9cc84dc90c,fullmap3,1100,45.0,131.7,,,,{},72.28,82.7,0.874,25,0.0819,1,1,0.027,0,1,0,1,0.0
976f5c2a8905,fullmap3,1100,65.0,149.99,,,,{},76.74,83.1,0.9235,29,0.1619,1,1,0.1162,0,1,0,1,0.0
7eca3882ca60,fullmap3,1100,100.0,130.0,,,,{},75.6,84.9,0.8904,25,0.2341,1,1,0.1286,0,1,0,1,0.0
5aece802b8cf,fullmap3,1300,20.0,170.0,,,,{},76.49,65.3,1.1714,25,0.0182,1,1,0.0199,0,1,0,1,0.0
687f0d94d578,fullmap3,1300,30.0,110.0,,,,{},86.12,65.6,1.3128,26,0.2608,1,1,0.0375,0,1,0,1,0.0
e2428c2355d1,fullmap3,1300,45.0,131.7,,,,{},61.24,66.4,0.9222,31,-0.0241,1,1,0.1476,0,1,0,1,0.0
e0c340a83916,fullmap3,1300,100.0,170.0,,,,{},68.37,66.6,1.0266,25,0.0319,1,1,0.0243,0,1,0,1,0.0
f48a14c1bfc0,fullmap3,1400,45.0,131.7,,,,{},67.65,73.4,0.9217,27,-0.1502,1,1,0.1945,0,1,0,1,0.0
