id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
aa547890e4e6,l6499,2700,64.99,150.0,,,,{},70.57,73.6,0.9588,25,0.0826,1,1,0.0128,0,1,0,1,302.1
ca1803be4a31,l6499,2400,64.99,150.0,,,,{},70.36,78.7,0.894,25,0.0969,1,1,0.0091,0,1,0,1,574.0
d0e6333d41ad,l6499,2200,64.99,130.0,,,,{},73.07,75.1,0.973,25,0.1144,1,1,0.0134,0,1,0,1,622.2
ee45584be71c,l6499,3100,64.99,136.67,,,,{},99.94,67.7,1.4763,35,0.236,1,1,0.0097,0,1,0,1,675.1
cbfe9b2d18b6,l6499,1800,64.99,150.0,,,,{},69.27,75.1,0.9224,25,0.0143,1,1,0.0457,0,1,0,1,675.2
f0b6bf4b8e0c,l6499,2100,64.99,150.0,,,,{},71.26,68.5,1.0402,25,0.0923,1,1,0.0166,0,1,0,1,679.5
4c61cd3c0c4a,l6499,2900,64.99,143.33,,,,{},82.84,70.6,1.1734,35,0.1847,1,1,0.0835,0,1,0,1,741.7
969bc3c31f39,l6499,1600,64.99,150.0,,,,{},71.11,97.8,0.7271,25,0.028,1,1,0.0045,0,1,0,1,787.6
6342c94b3d3a,l6499,5300,64.99,144.0,,,,{},119.19,112.3,1.0614,30,0.2998,1,1,0.0073,0,1,0,1,256.9
2563a5390409,l6499,6300,64.99,175.0,,,,{},107.13,104.4,1.0261,31,0.2373,1,1,0.0222,0,1,0,1,270.7
923cf00027ce,l6499,6900,64.99,170.1,,,,{},106.28,101.2,1.0502,32,-0.0306,1,1,0.0285,0,1,0,1,270.9
7070718198a0,l6499,1300,64.99,150.0,,,,{},72.55,66.4,1.0926,25,0.1418,1,1,0.1001,0,1,0,1,964.2
7de2231709c0,l6499,3900,64.99,110.0,,,,{},111.61,128.8,0.8665,33,0.1866,1,1,0.0075,0,1,0,1,394.6
bf69b9da7880,l6499,7300,64.99,150.0,,,,{},113.04,100.9,1.1203,32,0.2074,1,1,0.0538,0,1,0,1,249.6
6e424e792b65,l6499,4600,64.99,132.0,,,,{},118.38,113.5,1.043,35,-0.0273,1,1,0.0048,0,1,0,1,396.6
20e5704f2fda,l6499,7900,64.99,170.1,,,,{},90.71,96.9,0.9362,32,0.2783,1,1,0.065,0,1,0,1,263.3
96515039b665,l6499,1400,64.99,150.0,,,,{},73.24,75.8,0.9662,33,-0.0345,1,1,0.2591,0,1,0,1,1092.2
6bdbcd392dec,l6499,1100,64.99,150.0,,,,{},73.8,83.1,0.8881,26,0.0793,1,1,0.0764,0,1,0,1,1110.3
56ab3016472f,l6499,870,64.99,150.0,,,,{},72.68,109.3,0.665,25,-0.1723,1,1,0.1504,0,1,0,1,1305.2
23adacb5db87,l6499,600,64.99,150.0,,,,{},85.34,115.5,0.7389,25,0.1619,1,1,0.0279,0,0,0,0,2373.5
