id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
3be7e400aa50,l65final,600,64.99,150.0,,,,{},85.34,115.5,0.7389,25,0.1619,1,1,0.0279,0,0,0,0,4.8
41b8a3c27f91,l65final,870,64.99,150.0,,,,{},72.68,109.3,0.665,25,-0.1723,1,1,0.1504,0,1,0,1,0.1
bfe5413c7e94,l65final,1100,64.99,150.0,,,,{},73.8,83.1,0.8881,26,0.0793,1,1,0.0764,0,1,0,1,0.0
3e492d992aa8,l65final,1300,64.99,170.0,,,,{},64.97,66.4,0.9784,28,0.2926,1,1,0.1209,0,1,0,1,0.0
3203c5f508f4,l65final,1400,64.99,170.0,,,,{},67.0,75.8,0.8838,25,0.0546,1,1,0.0473,0,1,0,1,0.0
fdaeff1f7f4d,l65final,1600,64.99,150.0,,,,{},71.11,97.8,0.7271,25,0.028,1,1,0.0045,0,1,0,1,0.0
1a8c41a5cdbe,l65final,1800,64.99,150.0,,,,{},69.27,75.1,0.9224,25,0.0143,1,1,0.0457,0,1,0,1,0.1
c705eb7ef63d,l65final,2100,64.99,150.0,,,,{},71.26,68.5,1.0402,25,0.0923,1,1,0.0166,0,1,0,1,0.0
537b96352360,l65final,2200,64.99,130.0,,,,{},73.07,75.1,0.973,25,0.1144,1,1,0.0134,0,1,0,1,0.1
384d256ac453,l65final,2400,64.99,150.0,,,,{},70.36,78.7,0.894,25,0.0969,1,1,0.0091,0,1,0,1,0.0
a2f2434c0357,l65final,2700,64.99,150.0,,,,{},70.57,73.6,0.9588,25,0.0826,1,1,0.0128,0,1,0,1,0.0
a2aa3b325a33,l65final,2900,64.99,150.0,,,,{},75.08,70.6,1.0635,25,0.0384,1,1,0.0268,0,1,0,1,0.0
b68ac25f0cc1,l65final,3100,64.99,137.0,,,,{},76.71,67.7,1.1331,25,0.0319,1,1,0.0553,0,1,0,1,0.0
f43c6b6e255e,l65final,3900,64.99,115.0,,,,{},103.88,128.8,0.8065,27,0.2913,1,1,0.0029,0,1,0,1,0.1
cde94add75c4,l65final,4600,64.99,132.0,,,,{},118.38,113.5,1.043,35,-0.0273,1,1,0.0048,0,1,0,1,0.0
f2cfe0a63405,l65final,5300,64.99,152.0,,,,{},114.07,112.3,1.0158,28,-0.0026,1,1,0.003,0,1,0,1,0.0
268633a3a3c2,l65final,6300,64.99,175.0,,,,{},107.13,104.4,1.0261,31,0.2373,1,1,0.0222,0,1,0,1,0.0
87058ebd9f2a,l65final,6900,64.99,170.1,,,,{},106.28,101.2,1.0502,32,-0.0306,1,1,0.0285,0,1,0,1,0.0
15ba0d5c6c19,l65final,7300,64.99,170.0,,,,{},101.41,100.9,1.0051,32,0.134,1,1,0.0657,0,1,0,1,0.1
b9d4fdc11870,l65final,7900,64.99,170.1,,,,{},90.71,96.9,0.9362,32,0.2783,1,1,0.065,0,1,0,1,0.0
