id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
777f7657362d,l65fit_3900,3900,64.99,110.0,,,,{},111.61,128.8,0.8665,33,0.1866,1,1,0.0075,0,1,0,1,0.0
a6ea1a0d589c,l65fit_7300,7300,64.99,160.0,,,,{},106.52,100.9,1.0557,29,0.2744,1,1,0.0583,0,1,0,1,173.0
91d5679e8b95,l65fit_7300,7300,64.99,170.0,,,,{},101.41,100.9,1.0051,32,0.134,1,1,0.0657,0,1,0,1,217.2
df1f9435d5c5,l65fit_7300,7300,64.99,145.0,,,,{},116.01,100.9,1.1498,35,0.0306,1,1,0.0456,0,1,0,1,241.7
a251005a5b8b,l65fit_3900,3900,64.99,115.0,,,,{},103.88,128.8,0.8065,27,0.2913,1,1,0.0029,0,1,0,1,269.7
6dd9d6b390c1,l65fit_7300,7300,64.99,155.0,,,,{},110.59,100.9,1.096,36,0.2575,1,1,0.055,0,1,0,1,281.9
2fb16e90e17f,l65fit_3900,3900,64.99,120.0,,,,{},105.51,128.8,0.8192,27,0.2718,1,1,0.0027,0,1,0,1,329.9
4bb356a90a9b,l65fit_3100,3100,64.99,130.0,,,,{},76.57,67.7,1.1311,25,0.0358,1,1,0.0283,0,1,0,1,354.4
a346ec5082f8,l65fit_3100,3100,64.99,145.0,,,,{},75.2,67.7,1.1108,25,0.067,1,1,0.048,0,1,0,1,366.3
004c5d04e56e,l65fit_3100,3100,64.99,137.0,,,,{},76.71,67.7,1.1331,25,0.0319,1,1,0.0553,0,1,0,1,370.2
10a19756d3af,l65fit_3100,3100,64.99,120.0,,,,{},79.26,67.7,1.1707,25,0.0351,1,1,0.022,0,1,0,1,402.4
5f45e8d16812,l65fit_3900,3900,64.99,105.0,,,,{},113.35,128.8,0.88,40,0.1476,1,1,0.0055,0,1,0,1,486.9
aa3e2d3336a0,l65fit_5300,5300,64.99,138.0,,,,{},119.11,112.3,1.0606,31,0.0559,1,1,0.0092,0,1,0,1,289.4
7572aa84c0e7,l65fit_2900,2900,64.99,137.0,,,,{},76.5,70.6,1.0836,25,0.0839,1,1,0.0156,0,1,0,1,345.8
9ae65b21f0d2,l65fit_5300,5300,64.99,152.0,,,,{},114.07,112.3,1.0158,28,-0.0026,1,1,0.003,0,1,0,1,237.2
c9b146974c3f,l65fit_2900,2900,64.99,130.0,,,,{},76.65,70.6,1.0857,25,-0.0182,1,1,0.0155,0,1,0,1,402.2
8643c64c56ac,l65fit_5300,5300,64.99,148.0,,,,{},116.23,112.3,1.035,34,0.1645,1,1,0.0045,0,1,0,1,313.4
957880db8094,l65fit_2900,2900,64.99,150.0,,,,{},75.08,70.6,1.0635,25,0.0384,1,1,0.0268,0,1,0,1,393.8
490b6602aa03,l65fit_1400,1400,64.99,130.0,,,,{},72.55,75.8,0.9571,25,0.067,1,1,0.0143,0,1,0,1,797.9
b71c21956217,l65fit_1400,1400,64.99,170.0,,,,{},67.0,75.8,0.8838,25,0.0546,1,1,0.0473,0,1,0,1,872.6
20fc92a42822,l65fit_1300,1300,64.99,170.0,,,,{},64.97,66.4,0.9784,28,0.2926,1,1,0.1209,0,1,0,1,1077.6
49a71d422af0,l65fit_1300,1300,64.99,130.0,,,,{},387.96,66.4,5.8428,27,-0.1775,1,0,0.9682,1,1,1,0,1931.8
