id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
53c7c129d790,plfit_1300_20,1300,20.0,150.0,,,,{},132.58,65.3,2.0303,25,0.2497,1,0,0.9017,1,1,0,0,0.2
c8fb16623809,plfit_1300_30,1300,30.0,135.0,,,,{},14.1,65.6,0.215,25,0.0176,1,0,4.3827,2,1,0,0,0.3
eff49f1d573a,plfit_1300_20,1300,20.0,170.0,,,,{},76.49,65.3,1.1714,25,0.0182,1,1,0.0199,0,1,0,1,851.5
12301eafdc8b,plfit_1100_30,1100,30.0,160.0,,,,{},84.05,82.4,1.0201,25,0.2933,1,1,0.0592,0,1,0,1,868.9
51a7795212ea,plfit_1300_30,1300,30.0,110.0,,,,{},86.12,65.6,1.3128,26,0.2608,1,1,0.0375,0,1,0,1,887.3
c4ca4abf5e55,plfit_1800_30,1800,30.0,135.0,,,,{},53.04,70.9,0.7481,37,0.2334,1,0,0.9926,1,1,0,0,0.2
12780cd612b9,plfit_1100_30,1100,30.0,90.0,,,,{},86.46,82.4,1.0493,25,0.251,1,1,0.0683,0,1,0,1,1068.2
254c57a9ea99,plfit_1100_30,1100,30.0,110.0,,,,{},87.65,82.4,1.0637,29,0.1873,1,1,0.0556,0,1,0,1,1195.3
66b6e9b0bfa9,plfit_1300_20,1300,20.0,110.0,,,,{},112.65,65.3,1.7251,26,0.1411,1,0,0.9644,1,1,0,0,1408.5
1ad21f4329de,plfit_1600_30,1600,30.0,160.0,,,,{},76.54,91.9,0.8328,25,0.21,1,1,0.0613,0,1,0,1,655.2
cc5de3413050,plfit_2100_30,2100,30.0,110.0,,,,{},103.94,65.1,1.5965,27,-0.2972,1,1,0.0545,0,1,0,1,383.6
6c6ef8122551,plfit_1800_30,1800,30.0,160.0,,,,{},76.37,70.9,1.0772,26,0.0852,1,1,0.1964,0,1,0,1,691.1
f5ac757b2583,plfit_1300_30,1300,30.0,160.0,,,,{},79.46,65.6,1.2112,25,0.0962,1,0,0.9939,1,1,0,0,1664.2
cafc15cab0f9,plfit_2100_30,2100,30.0,90.0,,,,{},77.93,65.1,1.197,26,0.1814,1,1,0.0671,0,1,0,1,660.4
6fd38adb734d,plfit_2900_30,2900,30.0,110.0,,,,{},107.33,68.5,1.5669,27,-0.2972,1,1,0.0599,0,1,0,1,273.1
fb3ca9d3fb04,plfit_2900_30,2900,30.0,125.0,,,,{},79.76,68.5,1.1643,25,0.2282,1,1,0.0951,0,1,0,1,374.2
2ab15124da92,plfit_1600_30,1600,30.0,110.0,,,,{},46.28,91.9,0.5035,29,-0.2276,1,1,688.2,0,1,0,1,1998.8
733687fa051a,plfit_2100_30,2100,30.0,160.0,,,,{},74.6,65.1,1.1459,26,0.0091,1,1,0.0402,0,1,0,1,501.5
872251ea0784,plfit_2900_30,2900,30.0,155.0,,,,{},75.92,68.5,1.1084,25,0.1983,1,1,0.0499,0,1,0,1,378.1
f81ea7c1f82c,plfit_1300_30,1300,30.0,90.0,,,,{},202.05,65.6,3.0801,25,0.0143,1,0,0.999,2,1,0,0,2203.2
bbf2cd71546a,plfit_1300_20,1300,20.0,130.0,,,,{},134.64,65.3,2.0619,29,-1.283,0,0,0.9388,2,0,0,0,2405.9
b7c9787ad8dd,plfit_1100_30,1100,30.0,135.0,,,,{},0.0,82.4,0.0,0,,0,1,,,0,0,0,2406.7
00820e896730,plfit_1600_30,1600,30.0,135.0,,,,{},0.0,91.9,0.0,0,,0,1,,,0,0,0,2406.4
3489f67f3235,plfit_1800_65,1800,65.0,110.0,,,,{},67.98,75.1,0.9051,25,0.0176,1,1,0.0166,0,1,0,1,582.5
bff58215941f,plfit_7300_65,7300,65.0,150.0,,,,{},100.14,100.9,0.9924,25,-0.2425,1,1,3.4225,0,1,0,1,232.8
1c997c5f08ad,plfit_1800_65,1800,65.0,170.0,,,,{},67.28,75.1,0.8959,25,0.0364,1,1,0.0246,0,1,0,1,655.7
e8f9388c3f92,plfit_7300_65,7300,65.0,160.0,,,,{},107.04,100.9,1.0609,33,0.1392,1,1,0.0575,0,1,0,1,271.0
37fabe68354d,plfit_2200_65,2200,65.0,110.0,,,,{},64.37,75.1,0.8571,25,0.0897,1,1,0.0191,0,1,0,1,644.0
eeb29232b326,plfit_2200_65,2200,65.0,130.0,,,,{},71.59,75.1,0.9532,25,0.1053,1,1,0.0245,0,1,0,1,582.2
e900bcb2562e,plfit_7300_65,7300,65.0,180.0,,,,{},96.44,100.9,0.9558,32,0.0182,1,1,0.0678,0,1,0,1,225.6
0605ae7dbeea,plfit_2200_65,2200,65.0,150.0,,,,{},70.87,75.1,0.9437,25,0.0741,1,1,0.0163,0,1,0,1,562.1
a730ca3d0611,plfit_1800_65,1800,65.0,150.0,,,,{},67.08,75.1,0.8932,30,-0.106,1,1,0.2237,0,1,0,1,998.8
97849cdf9f1c,plfit_1800_30,1800,30.0,110.0,,,,{},134.12,70.9,1.8917,47,-2.1199,0,0,0.9669,1,1,0,0,2403.7
c2ccc7cccdad,plfit_2200_65,2200,65.0,170.0,,,,{},53.26,75.1,0.7092,25,0.1392,1,0,0.9937,1,1,0,0,1065.1
4d04a6eec300,plfit_1800_65,1800,65.0,130.0,,,,{},169.33,75.1,2.2548,25,-0.026,1,0,0.998,1,1,0,0,1543.8
ff7d779e080a,plfit_2900_30,2900,30.0,142.0,,,,{},220.8,68.5,3.2233,59,-0.8512,0,0,1.6249,1,1,0,0,2145.1
4c8c066c5be3,plfit_2100_30,2100,30.0,135.0,,,,{},192.89,65.1,2.963,53,4.5921,0,0,0.9093,1,1,0,0,2402.6
