id,tag,rpm,load,base,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
8cef0faf0f1e,repin5300_65,5300,65.0,140.0,,,,{},118.8,112.3,1.0579,30,0.0104,1,1,0.0088,0,1,0,1,0.0
4aaf7d479072,repin5300_65,5300,65.0,136.0,,,,{},120.48,112.3,1.0728,30,0.2504,1,1,0.0124,0,1,0,1,350.5
56bc9189e000,repin4600_65,4600,65.0,126.0,,,,{},119.69,113.5,1.0545,30,0.2998,1,1,0.0095,0,1,0,1,359.0
0034dc420e2c,repin4600_65,4600,65.0,132.0,,,,{},116.12,113.5,1.0231,29,0.0312,1,1,0.0049,0,1,0,1,384.0
4162a3da6f2c,repin5300_65,5300,65.0,144.0,,,,{},118.06,112.3,1.0513,35,0.1723,1,1,0.0056,0,1,0,1,392.4
914f1a6b761c,idleWOT1100,1100,100.0,130.0,,,,{},75.6,84.9,0.8904,25,0.2341,1,1,0.1286,0,1,0,1,0.1
66001f1906c3,repin4600_65,4600,65.0,138.0,,,,{},118.04,113.5,1.04,34,0.2718,1,1,0.0114,0,1,0,1,417.7
4af1c4dbfbc7,repin4600_65,4600,65.0,144.0,,,,{},116.66,113.5,1.0278,36,0.1398,1,1,0.0039,0,1,0,1,477.3
89307d39e210,idleWOT1300,1300,100.0,110.0,,,,{},74.31,66.6,1.1158,25,0.1203,1,1,0.0216,0,1,0,1,1022.9
1ab52f712f0a,idleWOT1300,1300,100.0,130.0,,,,{},76.51,66.6,1.1488,25,0.0923,1,1,0.1906,0,1,0,1,0.1
a0fda0aab383,idleWOT1100,1100,100.0,150.0,,,,{},75.46,84.9,0.8888,25,0.0936,1,1,0.1049,0,1,0,1,1334.4
dea61a5b8a73,idleWOT1100,1100,100.0,110.0,,,,{},70.72,84.9,0.833,25,0.0624,1,1,0.0346,0,1,0,1,1494.6
57d655a9fb4e,idleWOT1100,1100,100.0,170.0,,,,{},75.45,84.9,0.8887,25,0.0774,1,1,0.0335,0,1,0,1,1494.2
71854f0fd984,idleWOT1400,1400,100.0,130.0,,,,{},71.04,78.8,0.9015,25,-0.026,1,1,0.0243,0,1,0,1,0.1
de4340cee2ea,idleWOT870,870,100.0,170.0,,,,{},75.76,115.7,0.6548,25,0.0598,1,1,0.0183,0,1,0,1,1835.8
fabafc8a9872,idleWOT600,600,100.0,130.0,,,,{},86.0,120.2,0.7155,19,0.1704,1,1,0.0371,0,0,0,0,2404.3
398e93b899ce,idleWOT870,870,100.0,130.0,,,,{},46.74,115.7,0.404,19,-2.285,0,0,1.2111,2,1,0,0,2404.6
e03fcaf62cd7,idleWOT1600,1600,100.0,130.0,,,,{},73.85,105.3,0.7013,25,0.0494,1,1,0.0792,0,1,0,1,0.1
bd2b4e866b97,idleWOT600,600,100.0,110.0,,,,{},87.04,120.2,0.7242,20,0.1749,1,1,0.027,0,0,0,0,2408.4
b2253b12f9b6,idleWOT870,870,100.0,110.0,,,,{},455.27,115.7,3.9349,17,5.9148,0,0,0.9917,1,1,1,0,2409.8
cf98c74d2f47,idleWOT600,600,100.0,150.0,,,,{},84.49,120.2,0.7029,16,0.3479,0,1,0.0357,0,0,0,0,2415.0
313f96a5c8ca,idleWOT1800,1800,100.0,130.0,,,,{},70.53,81.0,0.8708,25,-0.0072,1,1,0.0144,0,1,0,1,0.1
1849b131402b,idleWOT600,600,100.0,170.0,,,,{},71.88,120.2,0.598,18,-0.8818,0,1,0.4283,0,0,0,0,2419.7
5568bb5cc913,idleWOT870,870,100.0,150.0,,,,{},0.0,115.7,0.0,0,,0,1,,,0,0,0,2402.5
d9dbda88bd48,idleWOT1300,1300,100.0,150.0,,,,{},73.2,66.6,1.0992,25,0.1288,1,1,0.0574,0,1,0,1,1312.5
6d3c1f6354a3,idleWOT1300,1300,100.0,170.0,,,,{},68.37,66.6,1.0266,25,0.0319,1,1,0.0243,0,1,0,1,1184.2
af9783b72040,idleWOT1800,1800,100.0,110.0,,,,{},66.61,81.0,0.8224,25,0.0598,1,1,0.0212,0,1,0,1,697.9
f9ec2faf2f74,idleWOT1400,1400,100.0,150.0,,,,{},70.56,78.8,0.8954,25,0.1092,1,1,0.1128,0,1,0,1,1213.5
054cbddc843c,idleWOT1800,1800,100.0,150.0,,,,{},69.85,81.0,0.8624,25,0.0098,1,1,0.0073,0,1,0,1,759.4
fe9ee7b1c172,idleWOT1600,1600,100.0,150.0,,,,{},71.42,105.3,0.6782,25,0.0806,1,1,0.1007,0,1,0,1,790.4
1edc7d1b2cb0,idleWOT1600,1600,100.0,110.0,,,,{},70.92,105.3,0.6735,25,0.1021,1,1,0.0223,0,1,0,1,819.5
07ebfafc2182,idleWOT1800,1800,100.0,170.0,,,,{},67.56,81.0,0.8341,25,-0.0657,1,1,0.2673,0,1,0,1,857.5
ca54695d559e,idleWOT1600,1600,100.0,170.0,,,,{},67.69,105.3,0.6429,25,0.0169,1,1,0.0328,0,1,0,1,878.6
c7725528258a,idleWOT1400,1400,100.0,170.0,,,,{},68.49,78.8,0.8692,28,0.2972,1,1,0.0503,0,1,0,1,1149.0
d1b8ee160cb6,idleWOT2100,2100,100.0,150.0,,,,{},69.36,68.9,1.0067,25,-0.0507,1,1,0.0066,0,1,0,1,618.4
3d306b52ebc0,idleWOT2100,2100,100.0,170.0,,,,{},66.74,68.9,0.9686,25,0.0169,1,1,0.0244,0,1,0,1,495.6
18c1cec81956,idleWOT1400,1400,100.0,110.0,,,,{},1320.48,78.8,16.7574,26,15.0393,0,1,6.3919,0,1,1,0,2404.6
b00a30b8871c,idleWOT2100,2100,100.0,130.0,,,,{},430.38,68.9,6.2465,35,-0.1925,1,0,0.9611,1,1,1,0,1894.8
2b45e0b9b625,idleWOT2100,2100,100.0,110.0,,,,{},295.31,68.9,4.2861,49,-30.3646,0,0,1.0276,1,1,1,0,2403.4
