id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
d77e14f1adca,r2_a0.3,5300,100.0,88.0,105.0,0.0,0.0,27.0,0.3,,,{},124.24,117.1,1.061,29,-0.0325,1,1,0.0025,0,1,0,1,265.4
2c994b326fbe,r2_a0.3,3900,100.0,70.0,87.0,0.0,0.0,25.0,0.3,,,{},71.57,129.5,0.5526,25,0.1502,1,1,0.0588,0,1,0,1,317.6
d7b448e1dd7f,r2_a0.3,6300,100.0,96.0,108.0,0.0,0.0,29.0,0.3,,,{},142.55,109.7,1.2994,41,0.2608,1,1,0.0054,0,1,0,1,310.2
dd82b55d5b17,r2_a0.3,6900,100.0,111.0,111.0,0.0,0.0,27.0,0.3,,,{},140.14,107.0,1.3097,44,0.2575,1,1,0.0399,0,1,0,1,289.9
14443a17461c,r2_a0.3,2700,100.0,80.0,93.0,0.0,0.0,24.0,0.3,,,{},93.81,74.8,1.2541,47,0.2783,1,1,0.0074,0,1,0,1,1046.3
11e277f448da,r2_a0.3,4600,100.0,88.0,104.0,0.0,0.0,27.0,0.3,,,{},594.82,118.2,5.0323,2,,0,0,2.2989,3,1,1,0,1203.4
420b64d287ac,r2_a0.5,3900,100.0,70.0,87.0,0.0,0.0,25.0,0.5,,,{},118.8,129.5,0.9174,47,0.2295,1,1,0.0276,0,1,0,1,697.7
61fa856bdd54,r2_a0.5,4600,100.0,88.0,104.0,0.0,0.0,27.0,0.5,,,{},121.93,118.2,1.0316,34,0.1964,1,1,0.0115,0,1,0,1,380.2
fa3a04b21de4,r2_a0.5,2700,100.0,80.0,93.0,0.0,0.0,24.0,0.5,,,{},97.18,74.8,1.2992,40,0.2887,1,1,0.0053,0,1,0,1,871.3
39496991f1b5,r2_a0.5,5300,100.0,88.0,105.0,0.0,0.0,27.0,0.5,,,{},129.21,117.1,1.1034,30,0.2491,1,1,0.0322,0,1,0,1,286.7
f885e5900595,r2_a0.5,6300,100.0,96.0,108.0,0.0,0.0,29.0,0.5,,,{},144.08,109.7,1.3134,42,0.2582,1,1,0.0133,0,1,0,1,282.7
edd11033b8a8,r2_a0.5,6900,100.0,111.0,111.0,0.0,0.0,27.0,0.5,,,{},139.75,107.0,1.306,45,0.2504,1,1,0.0365,0,1,0,1,323.5
