id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
96d28a613bed,r3_honest,870,20.0,97.0,100.0,0.0,0.0,9.0,,,,{},80.68,99.4,0.8117,25,0.2504,1,1,0.0468,0,1,0,1,1323.7
5e0754490ac7,r3_honest,600,100.0,76.0,100.0,0.0,0.0,2.0,,,,{},80.59,120.2,0.6705,21,0.45,0,1,0.0405,0,1,0,0,2400.2
d6b08fd1b2e1,r3_honest,600,30.0,76.0,100.0,0.0,0.0,2.0,,,,{},89.89,112.1,0.8019,26,0.3362,0,1,0.0514,0,1,0,0,2402.2
3e7c55ff364e,r3_honest,600,20.0,82.0,100.0,0.0,0.0,2.0,,,,{},84.67,98.5,0.8596,16,0.5059,0,1,0.0557,0,0,0,0,2406.8
d976d44cc2ac,r3_honest,870,30.0,97.0,100.0,0.0,0.0,9.0,,,,{},43.33,104.2,0.4158,19,-1.1145,0,0,0.9923,1,1,0,0,2404.1
18469b644859,r3_honest,1100,20.0,100.0,100.0,0.0,0.0,10.0,,,,{},76.86,81.4,0.9442,25,0.1379,1,1,0.0446,0,0,0,0,1669.5
d85cb680ec52,r3_honest,870,100.0,97.0,100.0,0.0,0.0,9.0,,,,{},379.69,115.7,3.2816,16,3.5153,0,0,0.9923,2,1,1,0,2402.0
89c64bd47368,r3_honest,1100,30.0,95.0,100.0,0.0,0.0,10.0,,,,{},120.82,82.4,1.4663,21,0.0072,1,0,0.9972,1,1,0,0,2401.5
f42385683517,r3_honest,1100,100.0,97.0,100.0,0.0,0.0,10.0,,,,{},74.88,84.9,0.882,25,0.0774,1,1,0.0107,0,1,0,1,1125.0
049249b29de2,r3_honest,1300,20.0,89.0,93.0,0.0,0.0,17.0,,,,{},77.77,65.3,1.1909,25,0.2881,1,1,0.0403,0,1,0,1,1115.1
3781f502a2bd,r3_honest,1300,30.0,79.0,83.0,0.0,0.0,17.0,,,,{},81.97,65.6,1.2495,27,0.132,1,1,0.0475,0,1,0,1,1180.2
c65ffa653fb7,r3_honest,1400,20.0,89.0,93.0,0.0,0.0,17.0,,,,{},76.35,70.4,1.0845,25,0.173,1,1,0.0367,0,1,0,1,982.7
ec934cd58e54,r3_honest,1300,100.0,70.0,83.0,0.0,0.0,17.0,,,,{},65.28,66.6,0.9801,25,0.1301,1,1,0.0314,0,1,0,1,1322.0
cd5d28b6ca42,r3_honest,1400,30.0,79.0,83.0,0.0,0.0,17.0,,,,{},168.03,71.5,2.3501,25,0.002,1,0,1.9922,1,1,0,0,1724.2
8fac14606e55,r3_honest,1600,20.0,89.0,93.0,0.0,0.0,18.0,,,,{},74.64,86.4,0.8639,26,0.1086,1,1,0.0485,0,1,0,1,918.7
5a13db3dacde,r3_honest,1400,100.0,70.0,83.0,0.0,0.0,17.0,,,,{},71.06,78.8,0.9018,25,0.08,1,1,0.0236,0,1,0,1,1147.3
2f22d154c1d5,r3_honest,1600,100.0,70.0,83.0,0.0,0.0,18.0,,,,{},106.86,105.3,1.0148,31,0.2347,1,1,0.0034,0,1,0,1,1177.9
1be9222dd3c3,r3_honest,1600,30.0,75.0,83.0,0.0,0.0,18.0,,,,{},129.65,91.9,1.4108,25,0.0078,1,0,0.9973,1,1,0,0,1958.6
f5496060b878,r3_honest,1800,20.0,90.0,83.0,0.0,0.0,21.0,,,,{},116.81,69.0,1.6929,25,0.1288,1,0,0.941,1,1,0,0,1431.6
11dc3bb06523,r3_honest,1800,30.0,80.0,83.0,0.0,0.0,21.0,,,,{},44.01,70.9,0.6207,25,0.1379,1,0,0.9921,1,1,0,0,1576.1
95ac900f4ff1,r3_honest,2100,20.0,90.0,83.0,0.0,0.0,23.0,,,,{},71.75,63.9,1.1228,25,0.1788,1,1,0.0579,0,1,0,1,874.8
