id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
a7d17cc99b97,r3v2_pl,870,64.99,97.0,100.0,0.0,0.0,9.0,,,,{},67.82,109.3,0.6205,25,0.132,1,1,0.0288,0,1,0,1,0.0
a40c02f8aaee,r3v2_pl,1100,64.99,97.0,100.0,0.0,0.0,10.0,,,,{},65.6,83.1,0.7895,25,-0.1131,1,1,0.0217,0,1,0,1,1131.9
c0e3f72caf00,r3v2_pl,1300,45.0,70.0,83.0,0.0,0.0,17.0,,,,{},69.09,66.4,1.0405,25,0.1587,1,1,0.0223,0,1,0,1,1151.8
7df49ebfcd0f,r3v2_pl,1100,45.0,97.0,100.0,0.0,0.0,10.0,,,,{},58.04,82.7,0.7018,29,-0.2263,1,1,0.5508,0,1,0,1,1808.6
42d40642e0e2,r3v2_pl,870,45.0,97.0,100.0,0.0,0.0,9.0,,,,{},67.53,106.4,0.6347,25,0.1444,1,1,0.0296,0,1,0,1,1865.8
ab4ce6107e7b,r3v2_pl,1600,45.0,70.0,83.0,0.0,0.0,18.0,,,,{},66.09,95.2,0.6943,25,0.0975,1,1,0.0138,0,1,0,1,0.0
c7f675d5cf58,r3v2_pl,1600,64.99,70.0,83.0,0.0,0.0,18.0,,,,{},64.7,97.8,0.6615,25,0.0923,1,1,0.0385,0,1,0,1,0.0
ffa02577eb7a,r3v2_pl,1400,45.0,70.0,83.0,0.0,0.0,17.0,,,,{},64.58,73.4,0.8798,25,0.0358,1,1,0.0182,0,1,0,1,959.1
ce8772e35b2e,r3v2_pl,600,45.0,76.0,100.0,0.0,0.0,2.0,,,,{},78.34,113.7,0.689,25,0.145,1,1,0.0122,0,1,0,1,2200.8
1b4b6c0ccc65,r3v2_pl,1300,64.99,70.0,83.0,0.0,0.0,17.0,,,,{},64.84,66.4,0.9765,25,0.1268,1,1,0.0342,0,1,0,1,1085.3
59e04c3cb4af,r3v2_pl,600,64.99,76.0,100.0,0.0,0.0,2.0,,,,{},37.23,115.5,0.3223,15,0.9741,0,0,0.9887,2,1,0,0,2404.1
97f0f5ff7480,r3v2_pl,1800,45.0,75.0,83.0,0.0,0.0,21.0,,,,{},59.38,73.6,0.8069,25,0.0832,1,1,0.0163,0,1,0,1,954.4
d5c9edf308c5,r3v2_pl,2200,64.99,75.0,83.0,0.0,0.0,21.0,,,,{},99.91,75.1,1.3303,38,0.2952,1,1,0.0045,0,1,0,1,0.0
8aee038ceedc,r3v2_pl,1400,64.99,70.0,83.0,0.0,0.0,17.0,,,,{},65.58,75.8,0.8652,25,0.0787,1,1,0.0292,0,1,0,1,1022.0
9237a559b3fb,r3v2_pl,2200,45.0,75.0,83.0,0.0,0.0,23.0,,,,{},98.1,75.0,1.308,39,0.2881,1,1,0.0039,0,1,0,1,1039.1
246789ac8d6a,r3v2_pl,2400,64.99,75.0,93.0,0.0,0.0,23.0,,,,{},108.32,78.7,1.3763,29,0.2087,1,1,0.0118,0,1,0,1,616.6
86ffd67ca559,r3v2_pl,2100,45.0,75.0,83.0,0.0,0.0,23.0,,,,{},101.79,66.3,1.5352,51,0.2868,1,1,0.006,0,1,0,1,1287.0
de0f2fb40803,r3v2_pl,2400,45.0,75.0,90.0,0.0,0.0,23.0,,,,{},63.81,78.1,0.817,32,-0.0631,1,0,0.6997,1,1,0,0,861.5
74957bafd4f6,r3v2_pl,2700,64.99,80.0,93.0,0.0,0.0,24.0,,,,{},98.42,73.6,1.3372,39,0.2842,1,1,0.0028,0,1,0,1,511.5
2e855c708c39,r3v2_pl,2700,45.0,80.0,93.0,0.0,0.0,24.0,,,,{},95.43,72.6,1.3145,41,0.2978,1,1,0.0011,0,1,0,1,588.0
63c130a5df19,r3v2_pl,2100,64.99,75.0,83.0,0.0,0.0,23.0,,,,{},63.48,68.5,0.9268,53,0.2172,1,1,0.1757,0,1,0,1,1857.1
