id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
a36a8feedf20,iso_s2dia,6300,100.0,96.0,108.0,0.0,0.0,29.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.length"": ""2200"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",115.16,109.7,1.0498,39,0.0988,1,1,0.0571,0,1,0,1,580.1
43fd2b8f292e,iso_reso,6300,100.0,96.0,108.0,0.0,0.0,29.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.length"": ""2200"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",112.38,109.7,1.0245,42,-0.0943,1,1,0.0194,0,1,0,1,642.0
7814a224d626,iso_h,6300,100.0,96.0,108.0,0.0,0.0,29.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.length"": ""2200"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",112.86,109.7,1.0288,42,0.078,1,1,0.018,0,1,0,1,682.0
531481c5ee0c,iso_muf1,6300,100.0,96.0,108.0,0.0,0.0,29.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.length"": ""2200"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",110.55,109.7,1.0077,42,-0.1535,1,1,0.0191,0,1,0,1,734.9
3b04984611bc,iso_s2len,6300,100.0,96.0,108.0,0.0,0.0,29.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",99.8,109.7,0.9098,56,0.2978,1,1,0.0202,0,1,0,1,915.1
4f46fde2a672,iso_hret,6300,100.0,96.0,108.0,0.0,0.0,29.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.length"": ""2200"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550""}",110.42,109.7,1.0066,38,0.1457,1,1,0.0192,0,1,0,1,544.9
c769fc4718c4,iso_muf1,1600,100.0,70.0,83.0,0.0,0.0,18.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.length"": ""2200"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",83.42,105.3,0.7922,25,0.1574,1,1,0.0301,0,1,0,1,1214.6
6106aa1086e2,iso_s2len,1600,100.0,70.0,83.0,0.0,0.0,18.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",48.03,105.3,0.4561,25,0.0748,1,1,0.008,0,1,0,1,1308.3
0c56044cb01b,iso_s2dia,1600,100.0,70.0,83.0,0.0,0.0,18.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.length"": ""2200"", ""exhaust.section2.resonator_length"": ""300"", ""exhaust.section2.resonator_offset"": ""800"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",68.97,105.3,0.655,32,0.2764,1,1,0.0892,0,1,0,1,1407.8
fb72a72e2d1e,iso_reso,1600,100.0,70.0,83.0,0.0,0.0,18.0,,,,"{""exhaust.catalyst.diameter"": ""105.6"", ""exhaust.catalyst.length"": ""180"", ""exhaust.headers.collector_dia"": ""65"", ""exhaust.headers.collector_length"": ""90"", ""exhaust.headers.primary_diameter"": ""37.6"", ""exhaust.headers.primary_end_diameter"": ""37.6"", ""exhaust.section1_1.cat_offset"": ""750"", ""exhaust.section1_1.cat_taper_length"": ""120"", ""exhaust.section1_1.cross_to_cat"": ""440"", ""exhaust.section1_1.diameter"": ""52.6"", ""exhaust.section1_2.cat_offset"": ""750"", ""exhaust.section2.diameter"": ""49.6"", ""exhaust.section2.h_offset"": ""80"", ""exhaust.section2.length"": ""2200"", ""exhaust.section3.internal_model"": ""chambers"", ""exhaust.section3.pass1_length"": ""1130"", ""exhaust.section3.pass2_length"": ""1930"", ""exhaust.section3.pass_diameter"": ""65"", ""exhaust.section3.pass_friction"": ""0.02"", ""exhaust.section3.volume"": ""46"", ""intake.eq_tube.rail_tap_taper_end"": ""21"", ""intake.eq_tube.return_pipe_length"": ""550"", ""intake.head_return.enabled"": ""true"", ""intake.head_return.pipe_diameter"": ""15"", ""intake.head_return.pipe_length"": ""250"", ""intake.head_return.volume"": ""2""}",46.89,105.3,0.4453,25,0.0475,1,1,0.012,0,1,0,1,1412.4
