id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
c6b92573cb3b,fuelv1,3100,65.0,70.0,87.0,0.0,0.0,26.0,,,,{},85.37,67.7,1.2611,27,0.2695,1,1,0.0675,0,1,0,1,613.9
568194748bd4,fuelv1,2700,45.0,80.0,93.0,0.0,0.0,24.0,,,,{},85.09,72.6,1.1721,25,0.2894,1,1,0.1189,0,1,0,1,634.8
f5f78908326e,fuelv1,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,{},85.58,74.8,1.1441,30,0.2798,1,1,0.0228,0,1,0,1,707.6
b7a53f167a92,fuelv1,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,{},74.84,129.5,0.578,38,0.2833,1,1,0.1821,0,1,0,1,711.5
76bffe4f2fba,fuelv1,2400,30.0,80.0,88.0,0.0,0.0,23.0,,,,{},78.46,76.4,1.0269,26,0.2461,1,1,0.4026,0,1,0,1,747.4
d2d210297798,fuelv2,2700,45.0,80.0,93.0,0.0,0.0,24.0,,,,{},84.98,72.6,1.1706,25,0.2674,1,1,0.1202,0,1,0,1,524.6
f2bcf0c9071d,fuelv2,2400,30.0,80.0,88.0,0.0,0.0,23.0,,,,{},78.42,76.4,1.0264,25,0.2757,1,1,0.4002,0,1,0,1,549.3
f3921286eaa6,fuelv2,3100,65.0,70.0,87.0,0.0,0.0,26.0,,,,{},84.69,67.7,1.251,25,0.2771,1,1,0.0677,0,1,0,1,536.8
37f07ba3ffe9,fuelv2,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,{},85.18,74.8,1.1388,29,0.2943,1,1,0.0206,0,1,0,1,727.5
c0b3c0d55185,fuelv2,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,{},70.61,129.5,0.5452,27,0.2619,1,1,0.168,0,1,0,1,477.4
52f8e17ecec1,fuelv1,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,{},429.05,76.1,5.6379,5,24.5185,0,0,7.2693,1,0,1,0,1801.5
213e5c000f0f,fuelv2,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,{},429.05,76.1,5.6379,5,24.5185,0,0,7.2693,1,0,1,0,1800.8
