rpm,ivo_knob,eff_ivo,ivc_abdc,med_g,ve_med_pct,dve_pct,peak_g,last_g,n,nan,wall_s
3000,320,322,50,0.24935,38.91,-56.09,0.7772,0.0023,12,102,8
3000,330,332,60,0.39696,61.95,-33.05,0.7309,0.3970,14,0,7
3000,340,342,70,0.45514,71.03,-23.97,0.7077,0.4278,10,102,5
3000,350,352,80,0.43088,67.24,-27.76,0.6817,0.3173,12,102,6
3000,360,362,90,0.39753,62.04,-32.96,0.6374,0.2999,12,102,7
4000,320,322,50,0.54383,84.87,-17.13,0.7772,0.0068,14,102,5
4000,330,332,60,0.61277,95.63,-6.37,0.7586,0.4947,8,51,20
4000,340,342,70,0.57790,90.19,-11.81,1.6509,1.6509,12,102,6
4000,350,352,80,0.48939,76.37,-25.63,0.7144,0.3539,12,102,6
4000,360,362,90,0.40339,62.95,-39.05,0.6664,0.2551,12,53,6
5000,320,322,50,0.58875,91.88,-16.12,0.7927,0.5135,14,0,4
5000,330,332,60,0.54653,85.29,-22.71,0.7939,0.5390,14,0,4
5000,340,342,70,0.51295,80.05,-27.95,0.7812,0.3251,12,51,4
5000,350,352,80,0.48929,76.36,-31.64,0.7527,0.2975,12,0,4
5000,360,362,90,0.42246,65.93,-42.07,0.7072,0.3047,12,0,3
6000,320,322,50,0.59506,92.86,-16.14,0.8053,0.4340,14,102,3
6000,330,332,60,0.58290,90.97,-18.03,0.8087,0.4365,14,51,3
6000,340,342,70,0.53523,83.53,-25.47,0.7994,0.5145,12,51,3
6000,350,352,80,0.48214,75.24,-33.76,0.7771,0.4533,12,51,3
6000,360,362,90,0.43881,68.48,-40.52,0.7351,0.4055,12,51,3
7000,320,322,50,0.62631,97.74,-7.26,0.8054,0.5933,12,102,20
7000,330,332,60,0.56473,88.13,-16.87,0.8130,0.4596,14,51,3
7000,340,342,70,0.54502,85.06,-19.94,0.8098,0.2509,12,51,3
7000,350,352,80,0.51177,79.87,-25.13,0.7914,0.4225,12,0,3
7000,360,362,90,0.47893,74.74,-30.26,0.7541,0.4680,12,51,3
