id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
93918d36109b,stoich,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,{},68.94,76.1,0.9059,25,0.1121,1,1,0.0494,0,1,0,1,0.2
f6948f20c5cd,stoich,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,{},85.58,74.8,1.1441,30,0.2798,1,1,0.0228,0,1,0,1,0.1
969a137e3a73,stoich,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,{},85.48,68.4,1.2497,28,0.2681,1,1,0.0337,0,1,0,1,0.1
70be380d7c68,stoich,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,{},74.59,129.5,0.576,37,0.3046,0,1,0.1823,0,1,0,0,0.2
eba6d5524726,stoich,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,{},88.09,118.2,0.7452,27,0.2674,1,1,0.1143,0,1,0,1,0.3
b97d0192d708,rich088,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,{},84.43,118.2,0.7143,34,0.2998,1,1,0.1397,0,1,0,1,932.2
897b6b9af388,rich088,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,{},86.7,74.8,1.1591,25,0.275,1,1,0.0343,0,1,0,1,956.9
a1e83055d92a,rich088,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,{},85.3,68.4,1.2471,27,0.2757,1,1,0.0357,0,1,0,1,1013.9
3309afc60396,rich088,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,{},74.35,129.5,0.5741,37,0.297,1,1,0.1876,0,1,0,1,1051.5
f212c236cfff,rich088,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,{},13.33,76.1,0.1752,25,-0.0041,1,0,0.9626,2,1,0,0,1506.6
