id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
f826a5c14308,t1_fitted947,2700,45.0,80.0,93.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",78.27,72.6,1.078,25,0.2578,1,1,0.1903,0,1,0,1,484.8
daa98721d6a8,t1_fitted947,3100,65.0,70.0,87.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",79.76,67.7,1.1782,26,0.2688,1,1,0.0097,0,1,0,1,488.9
6af99b3f672a,t2_ident947,2700,65.0,80.0,93.0,0.0,0.0,24.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",81.14,73.6,1.1025,25,0.2434,1,1,0.0447,0,1,0,1,513.5
dd6adbbdfa21,t2_ident947,3100,45.0,78.0,87.0,0.0,0.0,26.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",77.42,65.6,1.1802,25,0.275,1,1,0.1611,0,1,0,1,513.8
ca7982b9b1d6,t1_fitted947,2700,65.0,80.0,93.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",81.02,73.6,1.1009,25,0.2358,1,1,0.0175,0,1,0,1,514.0
40a212d3d3a3,t2_ident947,2700,45.0,80.0,93.0,0.0,0.0,24.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",79.96,72.6,1.1014,25,0.2523,1,1,0.1287,0,1,0,1,517.8
eaaa4fb00bf8,t2_ident947,3100,65.0,70.0,87.0,0.0,0.0,26.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",79.68,67.7,1.177,25,0.2833,1,1,0.0669,0,1,0,1,594.0
d4a591470eec,t2_ident947,2400,65.0,75.0,93.0,0.0,0.0,23.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",77.22,78.7,0.9812,25,0.1341,1,1,0.0712,0,1,0,1,594.3
b97bf821d904,t2_ident947,2400,45.0,75.0,90.0,0.0,0.0,23.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",75.73,78.1,0.9696,25,0.187,1,1,0.2072,0,1,0,1,615.3
78c89acf000d,t1_fitted947,2400,45.0,75.0,90.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",74.48,78.1,0.9536,25,0.1739,1,1,0.2683,0,1,0,1,626.0
94b4166cf26f,t1_fitted947,3100,45.0,78.0,87.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",75.66,65.6,1.1534,25,0.2509,1,1,0.2328,0,1,0,1,634.9
fe442084ce74,t1_fitted947,2400,65.0,75.0,93.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",74.96,78.7,0.9525,25,0.2791,1,1,0.0223,0,1,0,1,678.7
4db7b4f9e51a,t1_fitted947,2200,30.0,80.0,83.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",61.76,74.6,0.8279,25,-0.0309,1,1,0.9282,0,1,0,1,687.9
98fde2aab08f,t1_fitted947,2400,30.0,80.0,88.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",65.45,76.4,0.8567,25,0.1506,1,1,0.7354,0,1,0,1,578.9
6382cec8e849,t2_ident947,2200,65.0,75.0,83.0,0.0,0.0,21.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",67.76,75.1,0.9022,25,0.0825,1,1,0.1469,0,1,0,1,663.7
42cc5394572e,t2_ident947,2200,45.0,75.0,83.0,0.0,0.0,23.0,,,"[[0.0, 0.001], [0.05, 0.05], [0.1, 0.1], [0.2, 0.2], [0.3, 0.3], [0.45, 0.45], [0.65, 0.65], [0.85, 0.85], [0.95, 0.95], [1.0, 0.96]]","{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 298.15}",69.86,75.0,0.9315,25,0.1286,1,1,0.3402,0,1,0,1,667.9
