id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
f08dae2a72b9,mesh_base,2700,45.0,80.0,93.0,0.0,0.0,24.0,,,,{},85.09,72.6,1.1721,25,0.2894,1,1,0.1203,0,1,0,1,492.9
fc8c325d9e8e,mesh_base,3100,65.0,70.0,87.0,0.0,0.0,26.0,,,,{},85.37,67.7,1.2611,27,0.2695,1,1,0.0675,0,1,0,1,569.3
4c4e40ec290e,mesh_base,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,{},85.48,68.4,1.2497,28,0.2681,1,1,0.0337,0,1,0,1,658.6
92f27b5543b9,mesh_base,2400,30.0,80.0,88.0,0.0,0.0,23.0,,,,{},78.4,76.4,1.0262,26,0.2393,1,1,0.4027,0,1,0,1,755.2
7bc67cbd706e,mesh_base,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,{},74.84,129.5,0.578,38,0.2833,1,1,0.1821,0,1,0,1,784.3
cb6d943884b7,mesh_base,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,{},85.58,74.8,1.1441,30,0.2798,1,1,0.0215,0,1,0,1,820.8
91eaf67193f8,mesh_dx2,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,{},91.5,68.4,1.3378,27,0.275,1,1,0.0302,0,1,0,1,637.9
02262fe32e3b,mesh_dx2,2700,45.0,80.0,93.0,0.0,0.0,24.0,,,,{},78.79,72.6,1.0852,25,0.1286,1,1,0.1069,0,1,0,1,650.6
7b29cfb647e7,mesh_dx2,2400,30.0,80.0,88.0,0.0,0.0,23.0,,,,{},89.61,76.4,1.1729,25,0.253,1,1,0.2512,0,1,0,1,681.9
9ab6811165ba,mesh_dx2,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,{},86.01,129.5,0.6641,26,0.2262,1,1,0.0428,0,1,0,1,690.8
d5b1e9d2e540,mesh_dx2,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,{},81.26,74.8,1.0864,25,0.2049,1,1,0.0013,0,1,0,1,695.1
635ad3de98b4,mesh_dx2,3100,65.0,70.0,87.0,0.0,0.0,26.0,,,,{},90.18,67.7,1.332,27,0.2791,1,1,0.0182,0,1,0,1,730.7
