id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
d43ccc5cc548,st78_947,7900,100.0,120.0,107.0,0.0,0.0,28.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",109.92,101.7,1.0808,40,0.2503,1,1,0.0189,0,1,0,1,363.3,fixed_cycles,4.82
d7365b7e4c52,st78_947,7300,100.0,111.0,111.0,0.0,0.0,27.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",100.98,107.1,0.9428,40,1.0429,1,1,0.0206,0,1,0,1,395.6,fixed_cycles,8.97
dcc943e12116,st78_947,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",114.94,109.7,1.0478,40,0.0639,1,1,0.015,0,1,0,1,468.4,fixed_cycles,1.56
f373550cbcd2,st78_947,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",120.6,117.1,1.0299,40,0.1114,1,1,0.0445,0,1,0,1,521.4,fixed_cycles,2.06
9cf27f825bf2,st78_947,6900,100.0,111.0,111.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",98.22,107.0,0.9179,40,-0.2984,1,1,0.3225,0,1,0,1,553.0,fixed_cycles,3.03
7b3aa4ca4c1a,st78_947,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",84.46,118.2,0.7145,40,0.6586,1,1,0.1705,0,1,0,1,782.5,fixed_cycles,5.29
126ebfe9d74b,st78_947,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",85.48,68.4,1.2498,40,0.0722,1,1,0.0261,0,1,0,1,820.6,fixed_cycles,0.89
171b6b61479d,st78_947,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",85.56,129.5,0.6607,40,0.1093,1,1,0.0647,0,1,0,1,832.5,fixed_cycles,1.25
feb99ab7c5bf,st78_947,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",73.81,73.1,1.0097,40,0.2193,1,1,0.0123,0,1,0,1,1019.2,fixed_cycles,1.16
063af3cbbfcf,st78_947,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",79.94,79.8,1.0017,40,0.0447,1,1,0.021,0,1,0,1,1050.9,fixed_cycles,0.46
62b5ff2a7097,st78_947,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",78.0,74.8,1.0428,40,0.0598,1,1,0.0167,0,1,0,1,1093.9,fixed_cycles,0.61
437e6cd0ed6d,st78_947,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",81.63,76.1,1.0727,40,0.0358,1,1,0.0255,0,1,0,1,1314.5,fixed_cycles,0.4
