id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
3dda4f60e0f0,a0.4,3100,100.0,70.0,87.0,0.0,0.0,20.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",578.12,68.4,8.452,2,,0,1,1490.0229,0,0,1,0,119.7,nan,617.75
5b9716efecd0,a0.4,7900,100.0,120.0,107.0,0.0,0.0,28.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",108.42,101.7,1.0661,40,0.1238,1,1,0.0147,0,1,0,1,432.4,fixed_cycles,2.34
ed6bf19b5732,a0.4,6900,100.0,111.0,111.0,0.0,0.0,26.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",114.62,107.0,1.0712,40,0.4187,1,1,0.0573,0,1,0,1,479.7,fixed_cycles,1.77
00744ec5c30b,a0.4,6300,100.0,96.0,108.0,0.0,0.0,26.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",113.77,109.7,1.0371,40,-0.1629,1,1,0.0313,0,1,0,1,595.2,fixed_cycles,2.59
32b0886dc3b8,a0.4,7300,100.0,111.0,111.0,0.0,0.0,27.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",94.06,107.1,0.8783,40,1.1674,1,1,0.2464,0,1,0,1,662.2,fixed_cycles,14.72
b7b4af5eea91,a0.4,5300,100.0,88.0,105.0,0.0,0.0,25.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",88.42,117.1,0.7551,40,0.077,1,1,0.2663,0,1,0,1,756.1,fixed_cycles,1.81
980b65a04161,a0.4,3900,100.0,70.0,87.0,0.0,0.0,23.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",84.06,129.5,0.6491,40,0.0935,1,1,0.0932,0,1,0,1,776.8,fixed_cycles,1.06
44d4fa609d4f,a0.4,4600,100.0,88.0,104.0,0.0,0.0,24.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",76.2,118.2,0.6447,40,0.1513,1,1,0.1071,0,1,0,1,835.9,fixed_cycles,1.6
eaf50e77c64c,a0.4,2900,100.0,80.0,93.0,0.0,0.0,20.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",78.11,73.1,1.0685,40,0.5919,1,1,0.0217,0,1,0,1,1203.7,fixed_cycles,3.06
af059c19106f,a0.4,2700,100.0,80.0,93.0,0.0,0.0,20.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",77.01,74.8,1.0296,40,0.0598,1,1,0.0187,0,1,0,1,1251.9,fixed_cycles,0.57
82bf056c5781,a0.5,5300,100.0,88.0,105.0,0.0,0.0,25.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",95.01,117.1,0.8114,40,-0.1251,1,1,0.257,0,1,0,1,791.0,fixed_cycles,3.84
7839f6f1303e,a0.5,3900,100.0,70.0,87.0,0.0,0.0,23.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",84.47,129.5,0.6523,40,0.1066,1,1,0.086,0,1,0,1,896.8,fixed_cycles,1.2
730d068b5fb7,a0.5,2700,100.0,80.0,93.0,0.0,0.0,20.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",77.14,74.8,1.0313,40,0.0584,1,1,0.0187,0,1,0,1,1252.7,fixed_cycles,0.59
9e3f9d153acb,a0.5,2900,100.0,80.0,93.0,0.0,0.0,20.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",76.74,73.1,1.0498,40,0.1691,1,1,0.0032,0,1,0,1,1152.2,fixed_cycles,1.21
f3dcbab617d5,a0.5,4600,100.0,88.0,104.0,0.0,0.0,24.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",79.61,118.2,0.6735,40,0.4434,1,1,0.1719,0,1,0,1,997.1,fixed_cycles,2.82
93447d8f1267,a0.5,6300,100.0,96.0,108.0,0.0,0.0,26.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",119.38,109.7,1.0882,40,0.1011,1,1,0.033,0,1,0,1,605.9,fixed_cycles,1.94
213d506f2f58,a0.5,3100,100.0,70.0,87.0,0.0,0.0,20.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",86.8,68.4,1.269,40,0.0447,1,1,0.0323,0,1,0,1,1211.2,fixed_cycles,0.58
374d1c37d068,a0.5,2200,100.0,75.0,83.0,0.0,0.0,18.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",76.09,76.1,0.9999,40,0.0523,1,1,0.0023,0,1,0,1,1856.9,fixed_cycles,0.49
93e3bd004286,a0.5,6900,100.0,111.0,111.0,0.0,0.0,26.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",73.37,107.0,0.6857,40,0.1877,1,1,0.1796,0,1,0,1,725.6,fixed_cycles,2.46
09678fbc37f7,a0.5,7900,100.0,120.0,107.0,0.0,0.0,28.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",106.09,101.7,1.0431,40,0.5424,1,1,0.0225,0,1,0,1,425.3,fixed_cycles,7.32
5888cee0ca67,a0.5,2400,100.0,75.0,93.0,0.0,0.0,20.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",74.95,79.8,0.9392,40,0.0729,1,1,0.0077,0,1,0,1,1797.1,fixed_cycles,0.29
ccfc710cee1b,a0.5,7300,100.0,111.0,111.0,0.0,0.0,27.0,0.5,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",94.62,107.1,0.8834,40,0.0055,1,1,0.3667,0,1,0,1,653.7,fixed_cycles,2.38
a8bfcacb1a00,a0.4,2400,100.0,75.0,93.0,0.0,0.0,20.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",107.8,79.8,1.3508,34,-63.0662,0,0,0.9929,1,1,0,0,2402.5,timeout,266.07
cc1c1c9c96f6,a0.4,2200,100.0,75.0,83.0,0.0,0.0,18.0,0.4,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",97.29,76.1,1.2785,32,-0.0172,0,0,0.9959,1,1,0,0,2403.0,timeout,0.66
687f311f3258,a0.7,5300,100.0,88.0,105.0,0.0,0.0,25.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",108.17,117.1,0.9238,40,0.2853,1,1,0.0369,0,1,0,1,603.0,fixed_cycles,6.59
372b6367ef6b,a0.7,4600,100.0,88.0,104.0,0.0,0.0,24.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",106.13,118.2,0.8979,40,0.2069,1,1,0.0831,0,1,0,1,729.0,fixed_cycles,4.58
5233064a9a77,a0.7,6900,100.0,111.0,111.0,0.0,0.0,26.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",111.54,107.0,1.0425,40,0.1911,1,1,0.0357,0,1,0,1,450.8,fixed_cycles,4.66
8f0da002cc3b,a0.7,6300,100.0,96.0,108.0,0.0,0.0,26.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",114.55,109.7,1.0442,40,-0.3314,1,1,0.0232,0,1,0,1,568.5,fixed_cycles,2.39
98bdb82b661d,a0.7,7300,100.0,111.0,111.0,0.0,0.0,27.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",111.62,107.1,1.0422,40,0.1616,1,1,0.0357,0,1,0,1,447.1,fixed_cycles,3.15
ecbcbfda3be1,a0.7,7900,100.0,120.0,107.0,0.0,0.0,28.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",108.06,101.7,1.0626,40,0.3259,1,1,0.0257,0,1,0,1,478.1,fixed_cycles,5.46
c57feff01568,a0.7,2700,100.0,80.0,93.0,0.0,0.0,20.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",77.64,74.8,1.038,40,0.0612,1,1,0.0192,0,1,0,1,1141.6,fixed_cycles,0.59
8c76c9a3a617,a0.7,3100,100.0,70.0,87.0,0.0,0.0,20.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",87.03,68.4,1.2724,40,0.0694,1,1,0.0292,0,1,0,1,1119.7,fixed_cycles,0.88
