id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
b77ce4c6bf1c,icv002,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",128.26,118.2,1.0851,40,0.0969,1,1,0.0829,0,1,0,1,489.0,fixed_cycles,2.27
e4d6aeac6430,icv002,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",115.18,117.1,0.9836,40,0.3891,1,1,0.0603,0,1,0,1,587.0,fixed_cycles,9.03
0db1620cab41,icv002,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",141.48,129.5,1.0925,40,0.0646,1,1,0.0889,0,1,0,1,1045.3,fixed_cycles,3.63
ecbf8e666b50,icv002,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",629.77,109.7,5.7408,40,6.9768,1,0,0.7134,2,1,1,0,1100.3,fixed_cycles,264.78
9644dbf12ef7,icv002,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",111.1,73.1,1.5199,40,-0.4923,1,1,0.0611,0,1,0,1,1237.5,fixed_cycles,2.72
9c45c3e8625d,icv002,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",96.75,79.8,1.2124,40,1.0471,1,1,0.0512,0,1,0,1,1248.2,fixed_cycles,13.46
e66fa138809e,icv002,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",83.36,76.1,1.0954,40,0.0351,1,1,0.0558,0,1,0,1,1261.9,fixed_cycles,0.5
a7f7545fbcaa,icv002,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",82.71,68.4,1.2092,40,0.6449,1,1,0.0218,0,1,0,1,1325.9,fixed_cycles,6.29
22ce38a7d016,icv002,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",75.21,74.8,1.0055,40,0.0715,1,1,0.0125,0,1,0,1,1342.1,fixed_cycles,0.73
c903df8eb021,icv000,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.0}",471.26,117.1,4.0244,40,-11.5941,1,0,1.3981,1,1,1,0,1270.3,fixed_cycles,232.27
9e5d64889010,icv000,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.0}",604.53,109.7,5.5108,40,-19.7905,1,0,0.9595,1,0,1,0,1262.3,fixed_cycles,247.64
