id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
52ceabcccb0b,icvA0.7,6300,100.0,96.0,108.0,0.0,0.0,26.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",115.44,109.7,1.0523,40,-0.0859,1,1,0.0439,0,1,0,1,574.9,fixed_cycles,5.23
4db3386b22c6,icvA0.7,3100,100.0,70.0,87.0,0.0,0.0,20.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",85.99,68.4,1.2571,40,0.2592,1,1,0.026,0,1,0,1,1161.9,fixed_cycles,3.28
8672491c05b4,icvA0.7,2900,100.0,80.0,93.0,0.0,0.0,20.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",84.13,73.1,1.1509,40,0.2833,1,1,0.0315,0,1,0,1,1269.8,fixed_cycles,4.84
c731e1ff5cd2,icvA0.7,2700,100.0,80.0,93.0,0.0,0.0,20.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",121.89,74.8,1.6295,40,-0.1272,1,1,0.0496,0,1,0,1,1282.1,fixed_cycles,3.47
312814d35742,icvA0.7,5300,100.0,88.0,105.0,0.0,0.0,25.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",445.03,117.1,3.8004,40,-75.1127,1,0,3.5496,2,1,1,0,1343.6,fixed_cycles,321.87
00c16a7660e3,icvA0.7,2200,100.0,75.0,83.0,0.0,0.0,18.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",119.99,76.1,1.5767,40,-0.2076,1,1,0.0098,0,1,0,1,1430.1,fixed_cycles,1.92
e35f2047d03c,icvA0.7,4600,100.0,88.0,104.0,0.0,0.0,24.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",482.32,118.2,4.0805,40,-29.331,1,0,1.2943,1,1,1,0,1637.3,fixed_cycles,209.25
7f4c3d6b8f5e,icvA0.8,2900,100.0,80.0,93.0,0.0,0.0,20.0,0.8,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",78.39,73.1,1.0724,40,0.0557,1,1,0.0195,0,1,0,1,1119.6,fixed_cycles,0.59
62be828c169f,icvA0.8,2700,100.0,80.0,93.0,0.0,0.0,20.0,0.8,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",76.04,74.8,1.0166,40,1.5359,1,1,0.0132,0,1,0,1,1727.9,fixed_cycles,12.73
4518c3883c23,icvA0.8,2200,100.0,75.0,83.0,0.0,0.0,18.0,0.8,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",76.77,76.1,1.0088,40,0.1925,1,1,0.0059,0,1,0,1,1832.5,fixed_cycles,1.74
b137be0d6b07,icvA0.7,3900,100.0,70.0,87.0,0.0,0.0,23.0,0.7,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",505.42,129.5,3.9028,40,-34.9892,1,0,1.1885,2,1,1,0,1976.3,fixed_cycles,309.68
112a5f1b1aac,icvA0.8,3100,100.0,70.0,87.0,0.0,0.0,20.0,0.8,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02}",136.34,68.4,1.9933,40,-0.0351,1,1,0.031,0,1,0,1,815.6,fixed_cycles,0.53
