id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
0adbfd8e9a54,iner_icv030,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",111.74,117.1,0.9542,40,0.4352,1,1,0.3588,0,1,0,1,646.0,fixed_cycles,3.72
3005a3a4b93f,iner_icv030,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",110.53,118.2,0.9351,40,0.0103,1,1,0.3305,0,1,0,1,717.4,fixed_cycles,1.79
ecf3e29f09cf,iner_icv030,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",85.57,129.5,0.6607,40,0.0935,1,1,0.0662,0,1,0,1,788.9,fixed_cycles,0.9
de0343bddbb5,iner_icv030,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",104.34,73.1,1.4274,40,-0.3424,1,1,0.0214,0,1,0,1,899.2,fixed_cycles,2.74
a177478cd738,iner_icv030,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",107.86,74.8,1.4419,40,-0.6215,1,1,0.0373,0,1,0,1,948.3,fixed_cycles,3.65
10a5a5ca072b,iner_icv030,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",92.4,68.4,1.3509,40,0.0983,1,1,0.033,0,1,0,1,960.5,fixed_cycles,1.0
cf58620ff8e6,iner_icv002,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0}",444.41,109.7,4.0511,2,,0,1,1.3103,0,0,1,0,40.9,nan,129.78
473fd2c17d67,iner_icv002,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0}",125.92,76.1,1.6547,40,0.0474,1,1,0.0233,0,1,0,1,1023.9,fixed_cycles,0.34
fc3b6c790430,iner_icv030,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",80.34,79.8,1.0068,40,1.6026,1,1,0.01,0,1,0,1,1230.8,fixed_cycles,11.67
a8dfcc12f50a,iner_icv030,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",115.95,76.1,1.5237,40,-0.6133,1,1,0.0462,0,1,0,1,1234.9,fixed_cycles,6.0
3f4e776fa203,iner_icv030,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.3, ""intake.eq_tube.rail_tap_length"": 220.0}",599.22,109.7,5.4624,40,0.1767,1,0,0.6799,2,1,1,0,1333.3,fixed_cycles,52.56
74da29d4feb2,iner_icv002,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0}",613.28,117.1,5.2373,40,-38.6825,1,0,0.9592,2,1,1,0,1132.5,fixed_cycles,441.32
a457d93899cb,iner_icv002,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0}",640.04,68.4,9.3574,40,-99.0475,1,1,1.1144,0,1,1,0,1425.6,fixed_cycles,543.4
548e943d40f6,iner_icv002,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0}",106.26,73.1,1.4536,40,-0.5418,1,1,0.2222,0,1,0,1,1555.6,fixed_cycles,5.35
035483aead1b,iner_icv002,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0}",495.92,129.5,3.8295,40,63.5777,1,1,1.7638,0,1,1,0,1434.8,fixed_cycles,391.23
6d82bf31df68,iner_icv002,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0}",120.12,79.8,1.5052,40,4.8937,1,1,0.0178,0,1,0,1,2383.5,fixed_cycles,409.55
