id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
00758b13008a,bm235,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",366.78,118.2,3.1031,1,,0,0,4.2926,3,0,1,0,32.3,nan,0.0
69b484fd49e1,bm235,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",113.47,109.7,1.0343,40,0.1464,1,1,0.0093,0,1,0,1,475.4,fixed_cycles,1.21
286e227e15ce,bm235,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",88.7,129.5,0.685,40,0.0756,1,1,0.0379,0,1,0,1,657.2,fixed_cycles,0.91
bb593fcb411c,bm235,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",85.93,73.1,1.1755,40,0.0557,1,1,0.0354,0,1,0,1,851.4,fixed_cycles,0.64
ce39cde543eb,bm235,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",87.41,68.4,1.278,40,0.0584,1,1,0.0348,0,1,0,1,960.6,fixed_cycles,0.71
98938954a2e2,bm235,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",79.85,74.8,1.0675,40,0.0495,1,1,0.023,0,1,0,1,983.9,fixed_cycles,0.48
b3d1b2a21427,bm235,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",82.27,79.8,1.031,40,0.0413,1,1,0.0257,0,1,0,1,985.0,fixed_cycles,0.43
f319fb923de5,bm300,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 300}",80.93,76.1,1.0634,40,0.0358,1,1,0.0155,0,1,0,1,1199.5,fixed_cycles,0.29
3f5b963000b7,bm235,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 235}",83.58,76.1,1.0983,40,0.0282,1,1,0.0287,0,1,0,1,1417.5,fixed_cycles,0.3
205c06a7dc5c,bm300,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.bellmouth.length"": 300}",83.12,79.8,1.0416,40,0.044,1,1,0.0278,0,1,0,1,1060.6,fixed_cycles,0.42
