id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
bf7f82f88950,tapf5,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",101.49,118.2,0.8586,40,0.0688,1,1,0.3496,0,1,0,1,852.7,fixed_cycles,2.65
45e4b59f5126,tapf5,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",83.51,68.4,1.221,40,0.0784,1,1,0.0331,0,1,0,1,985.8,fixed_cycles,0.94
226d4476e7fc,tapf5,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",521.05,109.7,4.7498,40,18.124,1,1,0.4496,0,1,1,0,1148.6,fixed_cycles,343.27
87bf7492fa9a,tapf5,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",113.9,73.1,1.5581,40,1.4994,1,1,0.1031,0,1,0,1,1162.8,fixed_cycles,6.27
e32a834eb19d,tapf5,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",506.8,117.1,4.328,40,11.3012,1,0,0.8045,1,1,1,0,1191.4,fixed_cycles,356.38
46bb7b9f500d,tapf5,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",105.9,74.8,1.4158,40,-0.1691,1,1,0.0618,0,1,0,1,1251.3,fixed_cycles,1.3
f99b6dbc55a0,tapf15,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",79.4,74.8,1.0616,40,0.8209,1,1,0.0585,0,1,0,1,1322.6,fixed_cycles,8.83
e3b4713e0c3b,tapf15,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",109.1,76.1,1.4337,40,-0.4221,1,1,0.0585,0,1,0,1,1359.0,fixed_cycles,1.76
ee8c19ceb822,tapf5,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",82.74,129.5,0.639,40,1.7043,1,1,0.0519,0,1,0,1,1626.5,fixed_cycles,18.02
cb95bdce85b7,tapf15,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",122.78,109.7,1.1193,40,0.2558,1,1,0.0489,0,1,0,1,486.0,fixed_cycles,3.54
e5a35e2070e9,tapf5,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",113.65,79.8,1.4242,40,-0.0014,1,1,0.0447,0,1,0,1,1889.9,fixed_cycles,554.31
8be06c6c74ab,tapf15,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",76.88,68.4,1.124,40,0.1011,1,1,0.0339,0,1,0,1,986.1,fixed_cycles,1.39
014f295dbead,tapf5,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 5.0}",77.06,76.1,1.0126,40,0.1148,1,1,0.0224,0,1,0,1,1980.3,fixed_cycles,1.4
b651c4f5ccab,tapf15,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",91.38,129.5,0.7056,40,-0.1148,1,1,0.1047,0,1,0,1,867.7,fixed_cycles,1.01
9780fbaba6e3,tapf15,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",844.03,79.8,10.5768,40,-0.957,1,1,7767.2532,0,1,1,0,2261.5,fixed_cycles,20.38
acf380973542,tapf15,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",48.59,73.1,0.6647,40,-0.0316,1,1,0.2299,0,1,0,1,1413.2,fixed_cycles,3.65
306743be8d60,tapf15,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_friction"": 15.0}",172.84,118.2,1.4622,40,1.7848,1,1,0.0458,0,1,0,0,1156.6,fixed_cycles,531.47
