id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
d29d53d7b8cd,a000,6300,100.0,96.0,108.0,0.0,0.0,26.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",94.73,109.7,0.8635,40,0.8064,1,1,0.03,0,1,0,1,541.4,fixed_cycles,7.67
fe19460a2024,a000,5300,100.0,88.0,105.0,0.0,0.0,25.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",83.52,117.1,0.7132,40,0.2083,1,1,0.2656,0,1,0,1,553.8,fixed_cycles,2.68
2c9ff3ba12a8,a000,4600,100.0,88.0,104.0,0.0,0.0,24.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",85.9,118.2,0.7267,40,0.3857,1,1,0.0803,0,1,0,1,662.2,fixed_cycles,3.03
ec49b13f51f6,a000,3900,100.0,70.0,87.0,0.0,0.0,23.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",83.86,129.5,0.6476,40,0.2633,1,1,0.1047,0,1,0,1,974.0,fixed_cycles,2.54
49ff6dc691af,a000,3100,100.0,70.0,87.0,0.0,0.0,20.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",85.5,68.4,1.25,40,0.055,1,1,0.0617,0,1,0,1,1059.2,fixed_cycles,1.71
e5a7fd97782f,a000,2900,100.0,80.0,93.0,0.0,0.0,20.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",85.7,73.1,1.1723,40,-0.1224,1,1,0.0556,0,1,0,1,1075.4,fixed_cycles,1.23
8f61238f72d0,a000,2700,100.0,80.0,93.0,0.0,0.0,20.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",83.45,74.8,1.1157,40,0.2778,1,1,0.0845,0,1,0,1,1127.0,fixed_cycles,1.72
23c237fdb5b7,a020,2400,100.0,75.0,93.0,0.0,0.0,20.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",79.84,79.8,1.0005,40,0.0454,1,1,0.0194,0,1,0,1,1151.7,fixed_cycles,0.46
e82a9060cb55,a020,2700,100.0,80.0,93.0,0.0,0.0,20.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",82.75,74.8,1.1063,40,0.0172,1,1,0.08,0,1,0,1,1224.6,fixed_cycles,0.21
298ad6db88e5,a000,2200,100.0,75.0,83.0,0.0,0.0,18.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",86.12,76.1,1.1317,40,-0.1568,1,1,0.0951,0,1,0,1,1256.9,fixed_cycles,1.41
9a17a301fb43,a000,2400,100.0,75.0,93.0,0.0,0.0,20.0,off,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",86.37,79.8,1.0824,40,0.6428,1,1,0.0898,0,1,0,1,1305.9,fixed_cycles,2.72
2edd9f7c3167,a020,3900,100.0,70.0,87.0,0.0,0.0,23.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",83.2,129.5,0.6425,40,0.0921,1,1,0.0746,0,1,0,1,675.4,fixed_cycles,1.05
9cf0e38fe5b1,a020,2200,100.0,75.0,83.0,0.0,0.0,18.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",81.21,76.1,1.0671,40,0.242,1,1,0.0289,0,1,0,1,1362.3,fixed_cycles,1.23
536122b74d28,a020,3100,100.0,70.0,87.0,0.0,0.0,20.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",85.37,68.4,1.2481,40,0.0523,1,1,0.0393,0,1,0,1,841.1,fixed_cycles,0.64
399e650e7185,a020,2900,100.0,80.0,93.0,0.0,0.0,20.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",111.7,73.1,1.528,40,-0.4022,1,1,0.0866,0,1,0,1,973.0,fixed_cycles,2.22
8d693ea24664,a020,6300,100.0,96.0,108.0,0.0,0.0,26.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",82.89,109.7,0.7557,40,0.9213,1,1,0.3089,0,1,0,1,494.0,fixed_cycles,11.23
dc72967643fa,a020,5300,100.0,88.0,105.0,0.0,0.0,25.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",89.58,117.1,0.765,40,0.6648,1,1,0.0905,0,1,0,1,578.7,fixed_cycles,20.68
3538cd932d95,a020,4600,100.0,88.0,104.0,0.0,0.0,24.0,0.2,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5}",81.93,118.2,0.6932,40,0.1623,1,1,0.0524,0,1,0,1,744.8,fixed_cycles,2.13
