id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
9691f0b72e7f,box1d_fitrail,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",86.95,109.7,0.7927,40,0.2984,1,1,0.0638,0,1,0,1,619.1,fixed_cycles,3.2
a4277f7dce48,box1d_fitrail,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",88.04,118.2,0.7449,40,0.209,1,1,0.054,0,1,0,1,806.2,fixed_cycles,2.26
a686799a84f6,box1d_fitrail,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",91.28,117.1,0.7795,40,0.1423,1,1,0.0488,0,1,0,1,855.2,fixed_cycles,1.52
7da30e0ed5c8,box1d_fitrail,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",93.05,129.5,0.7186,40,0.3823,1,1,0.0911,0,1,0,1,1022.8,fixed_cycles,3.7
e0b9c319e442,box1d_fitrail,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",87.76,68.4,1.283,40,0.3176,1,1,0.1057,0,1,0,1,1157.9,fixed_cycles,3.46
ba1b73513954,box1d_fitrail,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",90.93,73.1,1.244,40,0.3417,1,1,0.1765,0,1,0,1,1386.7,fixed_cycles,3.33
2da2bc2943e4,box1d_fitrail,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",86.08,74.8,1.1508,40,0.2564,1,1,0.1128,0,1,0,1,1396.3,fixed_cycles,1.92
00fa63d92d5d,box1d_physrail,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",537.44,109.7,4.8991,1,,0,0,1.5017,1,0,1,0,32.5,nan,0.0
da2326b964b8,box1d_fitrail,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",95.93,79.8,1.2021,40,0.4682,1,1,0.0611,0,1,0,1,1537.6,fixed_cycles,4.67
486885759339,box1d_physrail,2200,100.0,75.0,83.0,0.0,0.0,18.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.eq_tube.icv_sigma"": 0.02, ""intake.eq_tube.rail_tap_length"": 220.0, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",88.78,76.1,1.1666,40,0.2448,1,1,0.1442,0,1,0,1,1904.1,fixed_cycles,2.7
