id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s,stop_reason,osc_amp
97ce0c47b52f,box_t12off,2700,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",387.52,74.8,5.1808,2,,0,1,0.4767,0,0,1,0,177.5,nan,284.67
be2ce7c3e94c,box_t12off,6300,100.0,96.0,108.0,0.0,0.0,26.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",86.88,109.7,0.792,40,0.3692,1,1,0.0932,0,1,0,1,687.7,fixed_cycles,3.52
67f1a76c819b,box_t12off,5300,100.0,88.0,105.0,0.0,0.0,25.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",84.96,117.1,0.7255,40,0.4689,1,1,0.0895,0,1,0,1,797.0,fixed_cycles,4.89
e19917744869,box_a03,3900,100.0,70.0,87.0,0.0,0.0,23.0,0.3,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",1023.03,129.5,7.8998,1,,0,0,1.7398,2,0,1,0,40.3,nan,0.0
8572145482f2,box_t12off,3900,100.0,70.0,87.0,0.0,0.0,23.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",83.95,129.5,0.6482,40,0.0887,1,1,0.0496,0,1,0,1,933.3,fixed_cycles,1.01
2e053de03b82,box_t12off,4600,100.0,88.0,104.0,0.0,0.0,24.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",84.28,118.2,0.713,40,0.2956,1,1,0.2517,0,1,0,1,1063.3,fixed_cycles,1.36
75da22e3a725,box_a03,2700,100.0,80.0,93.0,0.0,0.0,20.0,0.3,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",84.81,74.8,1.1338,40,0.242,1,1,0.0684,0,1,0,1,1209.8,fixed_cycles,2.28
229c103c2fc4,box_t12off,3100,100.0,70.0,87.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",91.58,68.4,1.3389,40,0.1444,1,1,0.1119,0,1,0,1,1298.7,fixed_cycles,1.59
cf38efb608b2,box_t12off,2400,100.0,75.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",94.42,79.8,1.1832,40,0.1361,1,1,0.0485,0,1,0,1,1302.8,fixed_cycles,1.47
4217c5430a9c,box_t12off,2900,100.0,80.0,93.0,0.0,0.0,20.0,,,,"{""environment.ambient_pressure"": 94700, ""environment.ambient_temp"": 299.15, ""exhaust.main_dx_scale"": 0.5, ""intake.plenum_box.end_cap_vol_l"": 1.0, ""intake.plenum_box.model"": ""box1d""}",86.02,73.1,1.1768,40,0.2908,1,1,0.1996,0,1,0,1,1431.5,fixed_cycles,2.58
