label,rpm,stock,ve,slope,cyc
base,6900,106.0,129.5,+0.05,54
base,6300,108.7,133.3,+0.02,54
noeqtube,6900,106.0,100.2,+0.19,54
noeqtube,5300,110.1,137.4,-0.04,54
noeqtube,6300,108.7,101.1,+0.32,54
base,5300,110.1,135.1,+0.09,54
eqvol050,5300,110.1,133.3,+0.46,54
noeqtube,4600,111.3,138.3,-0.10,54
eqvol050,4600,111.3,139.6,+0.05,54
base,4600,111.3,139.0,+0.04,54
noeqtube,3900,115.7,125.9,-0.26,54
eqvol050,3900,115.7,98.7,-0.08,54
eqvol050,6900,106.0,126.0,+0.05,54
eqvol050,6300,108.7,134.1,+0.01,54
eqvol050_cd07,6900,106.0,130.1,-0.01,54
eqvol050_cd07,5300,110.1,135.3,+0.10,54
base,2700,103.7,94.3,-0.16,51
noeqtube,2700,103.7,112.3,+0.44,38
base,3900,115.7,72.8,+0.26,44
eqvol050,2700,103.7,101.3,+0.09,53
eqvol050_cd07,6300,108.7,99.7,-0.09,54
eqvol050_cd07,4600,111.3,139.9,+0.04,54
eqvol050_cd07,3900,115.7,90.1,+0.12,54
eqvol050_cd07,2700,103.7,87.4,+0.39,50
