label,rpm,stock,ve,slope,cyc
eqfric002,5300,110.1,135.1,+0.09,54
eqfric002,4600,111.3,139.0,+0.04,54
eqfric002,6300,108.7,133.3,+0.02,54
eqfric002,6900,106.0,129.5,+0.05,54
eqfric002,2700,103.7,94.7,-0.02,54
eqfric002,3900,115.7,78.7,+0.56,53
eqfric010,4600,111.3,139.1,+0.06,54
eqfric010,3900,115.7,94.8,+0.37,54
eqfric010,5300,110.1,134.5,+0.07,54
eqfric010,2700,103.7,99.1,+0.47,54
eqfric010,6300,108.7,133.4,+0.02,54
eqfric010,6900,106.0,129.8,+0.04,54
eqfric025,4600,111.3,139.3,+0.07,54
eqfric025,5300,110.1,134.9,+0.16,54
eqfric025,3900,115.7,89.6,-0.07,54
eqfric025,6300,108.7,133.6,+0.02,54
eqfric025,2700,103.7,86.5,+0.39,41
eqfric025,6900,106.0,129.8,+0.01,54
eqfric050,5300,110.1,135.0,+0.26,54
eqfric050,4600,111.3,139.4,+0.05,54
eqfric050,2700,103.7,97.1,-0.23,54
eqfric050,3900,115.7,93.2,+0.12,54
eqfric050,6900,106.0,129.8,+0.02,54
eqfric050,6300,108.7,98.1,+0.40,54
