label,rpm,stock,ve,slope,cyc
base,5300,110.1,135.1,+0.09,54
base,4600,111.3,139.0,+0.04,54
base,6300,108.7,133.3,+0.02,54
base,6900,106.0,129.5,+0.05,54
base,2700,103.7,94.7,-0.02,54
base,3900,115.7,74.4,+0.44,46
noeqtube,5300,110.1,137.4,-0.04,54
noeqtube,4600,111.3,138.3,-0.10,54
noeqtube,3900,115.7,125.9,-0.26,54
noeqtube,2700,103.7,109.3,+0.87,33
noeqtube,6300,108.7,101.1,+0.32,54
noeqtube,6900,106.0,100.2,+0.19,54
eqdia020,3900,115.7,130.6,+0.07,54
eqdia020,5300,110.1,133.7,+0.04,54
eqdia020,2700,103.7,86.7,+0.03,32
eqdia020,6300,108.7,114.9,+1.11,54
eqdia020,6900,106.0,128.8,+0.04,54
eqdia020,4600,111.3,74.3,+0.00,49
sc1.7_cd0.75,4600,111.3,138.9,+0.05,54
sc1.7_cd0.75,3900,115.7,119.4,+0.19,54
sc1.7_cd0.75,2700,103.7,99.8,+0.10,54
sc1.7_cd0.75,5300,110.1,142.4,-0.19,54
sc1.7_cd0.75,6900,106.0,139.4,+0.01,54
sc1.7_cd0.75,6300,108.7,144.0,+0.07,54
