label,rpm,stock,ve,slope,cyc
noeq_sc1.0,5300,110.1,137.7,-0.01,57
noeq_sc1.0,4600,111.3,138.8,+0.06,57
noeq_sc1.0,3900,115.7,125.5,-0.21,57
noeq_sc1.0,6300,108.7,100.9,+0.12,57
noeq_sc1.0,6900,106.0,100.8,+0.26,57
noeq_sc1.0,2700,103.7,113.6,+0.10,46
noeq_sc1.7,4600,111.3,156.5,-0.01,57
noeq_sc1.7,3900,115.7,127.4,-0.46,57
noeq_sc1.7,2700,103.7,93.9,-0.43,57
noeq_sc1.7,6300,108.7,131.4,-0.03,57
noeq_sc1.7,6900,106.0,118.5,+0.46,57
noeq_sc1.7,5300,110.1,846.1,-6.97,42
noeq_sc2.5,2700,103.7,97.6,-0.25,57
noeq_sc2.5,4600,111.3,123.2,+0.92,57
noeq_sc2.5,6300,108.7,118.0,+0.11,57
noeq_sc2.5,3900,115.7,877.4,+0.15,35
noeq_sc2.5,5300,110.1,80.4,-0.06,57
eqvol025,3900,115.7,129.6,+0.02,57
noeq_sc2.5,6900,106.0,816.2,-0.27,57
eqvol025,2700,103.7,95.1,+0.03,57
eqvol025,4600,111.3,139.8,+0.03,57
eqvol025,5300,110.1,133.8,+0.28,57
eqvol025,6300,108.7,97.5,+0.51,57
eqvol025,6900,106.0,126.6,+0.03,57
