rpm,base,rad,radw,load,stock,ve_all,ve_h,ncol,slope,cyc,valid
6300,110.0,0.4,0.005,100,108.7,140.8,140.8,0,-0.20,54,1
6900,110.0,0.4,0.005,100,106.0,110.0,110.0,0,+0.01,54,1
6900,150.0,0.4,0.005,100,106.0,87.1,87.1,0,-0.13,54,1
6300,150.0,0.4,0.005,100,108.7,88.3,88.3,0,-0.12,54,1
5300,110.0,0.4,0.005,100,110.1,97.7,97.7,0,-0.03,54,1
5300,150.0,0.4,0.005,100,110.1,89.3,89.3,0,-0.03,54,1
4600,110.0,0.4,0.005,100,111.3,96.3,96.3,0,-0.03,54,1
4600,150.0,0.4,0.005,100,111.3,87.8,87.8,0,-0.03,54,1
3900,110.0,0.4,0.005,100,115.7,91.7,91.7,0,-0.02,54,1
5300,190.0,0.4,0.005,100,110.1,67.3,67.3,0,-0.02,54,1
4600,190.0,0.4,0.005,100,111.3,65.0,65.0,0,-0.05,54,1
6900,190.0,0.4,0.005,100,106.0,67.3,67.3,0,-0.09,54,1
2700,150.0,0.4,0.005,100,103.7,82.4,82.4,0,+0.03,54,1
2700,110.0,0.4,0.005,100,103.7,90.4,90.4,0,-0.78,34,1
3900,150.0,0.4,0.005,100,115.7,78.9,78.9,0,-0.08,50,1
2700,190.0,0.4,0.005,100,103.7,63.1,63.1,0,+0.03,49,1
3900,190.0,0.4,0.005,100,115.7,nan,nan,-1,+nan,0,0
6300,190.0,0.4,0.005,100,108.7,70.8,70.8,0,-0.11,54,1
