rpm,base,load,stock,ve_all,ve_h,ncol,slope,cyc,valid
4600,125.0,100,111.3,147.7,147.7,0,+0.02,54,1
4600,145.0,100,111.3,140.8,140.8,0,+0.03,54,1
4600,130.0,100,111.3,146.2,146.2,0,+0.01,54,1
4600,150.0,100,111.3,139.0,139.0,0,+0.04,54,1
3900,125.0,100,115.7,139.7,139.7,0,+0.03,54,1
3900,130.0,100,115.7,138.4,138.4,0,+0.03,54,1
4600,160.0,100,111.3,133.1,133.1,0,+0.12,54,1
4600,140.0,100,111.3,103.3,103.3,0,+0.17,54,1
4600,135.0,100,111.3,106.2,106.2,0,+0.00,54,1
3900,140.0,100,115.7,134.9,134.9,0,+0.06,54,1
4600,155.0,100,111.3,95.0,95.0,0,-0.14,54,1
3900,160.0,100,115.7,124.1,124.1,0,+0.06,54,1
3900,145.0,100,115.7,96.1,96.1,0,+0.10,54,1
3900,135.0,100,115.7,99.5,99.5,0,-0.16,54,1
3900,150.0,100,115.7,73.5,73.5,0,+0.41,45,1
3900,155.0,100,115.7,84.9,84.9,0,+0.27,45,1
4600,165.0,100,111.3,125.2,125.2,0,+0.15,54,1
4600,170.0,100,111.3,120.9,120.9,0,+0.20,54,1
4600,175.0,100,111.3,100.3,100.3,0,-0.48,54,1
3900,165.0,100,115.7,83.3,83.3,0,-0.03,54,1
3900,170.0,100,115.7,77.3,77.3,0,-0.07,54,1
3900,175.0,100,115.7,78.6,78.6,0,+0.03,54,1
