rpm,base,load,stock,ve_all,ve_h,ncol,slope,cyc,valid
6900,90.0,100,106.0,150.8,150.8,0,+0.02,54,1
6300,120.0,100,108.7,149.3,149.3,0,+0.02,54,1
6300,90.0,100,108.7,151.4,151.4,0,+0.03,54,1
6900,120.0,100,106.0,148.8,148.8,0,+0.01,54,1
5300,120.0,100,110.1,147.8,147.8,0,+0.03,54,1
5300,90.0,100,110.1,150.4,150.4,0,+0.05,54,1
5300,150.0,100,110.1,135.0,135.0,0,+0.09,54,1
4600,90.0,100,111.3,152.5,152.5,0,+0.03,54,1
4600,120.0,100,111.3,148.6,148.6,0,+0.06,54,1
4600,150.0,100,111.3,139.0,139.0,0,+0.04,54,1
3900,90.0,100,115.7,144.1,144.1,0,+0.03,54,1
3900,120.0,100,115.7,141.1,141.1,0,+0.03,54,1
6900,150.0,100,106.0,129.6,129.6,0,+0.05,54,1
6300,150.0,100,108.7,133.4,133.4,0,+0.02,54,1
3900,150.0,100,115.7,73.1,73.1,0,+0.26,44,1
2700,150.0,100,103.7,94.6,94.6,0,-0.16,51,1
2700,120.0,100,103.7,107.7,107.7,0,+0.07,52,1
2700,90.0,100,103.7,108.6,108.6,0,+0.08,53,1
6900,180.0,100,106.0,74.3,74.3,0,-0.35,54,1
5300,180.0,100,110.1,109.4,109.4,0,+0.06,54,1
6300,180.0,100,108.7,80.9,80.9,0,-0.21,54,1
4600,180.0,100,111.3,74.0,74.0,0,-0.08,54,1
2700,180.0,100,103.7,76.1,76.1,0,+0.18,54,1
3900,180.0,100,115.7,81.5,81.5,0,+0.16,54,1
