label,rpm,stock,ve,slope,cyc
sc1.2_rad,6900,106.0,88.3,-0.15,54
sc1.0_rad,6900,106.0,87.1,-0.13,54
sc1.0_rad,6300,108.7,88.1,-0.12,54
sc1.2_rad,5300,110.1,87.5,-0.12,54
sc1.0_rad,5300,110.1,89.2,-0.03,54
sc1.35_rad,5300,110.1,86.0,-0.12,54
sc1.0_rad,4600,111.3,87.8,-0.03,54
sc1.2_rad,4600,111.3,84.4,-0.09,54
sc1.2_rad,6300,108.7,88.8,-0.01,54
sc1.0_rad,3900,115.7,78.8,-0.04,54
sc1.2_rad,3900,115.7,77.9,+0.01,54
sc1.35_rad,3900,115.7,77.5,-0.02,54
sc1.35_rad,6900,106.0,130.1,+0.16,54
sc1.35_rad,6300,108.7,90.7,+0.04,54
sc1.5_rad,6900,106.0,101.3,+0.00,54
sc1.2_rad,2700,103.7,82.1,-0.04,54
sc1.0_rad,2700,103.7,82.3,+0.03,54
sc1.35_rad,4600,111.3,86.6,-0.12,54
sc1.5_rad,5300,110.1,84.8,-0.06,54
sc1.35_rad,2700,103.7,81.4,-0.01,54
sc1.5_rad,4600,111.3,84.6,-0.10,54
sc1.5_rad,3900,115.7,75.6,-0.11,54
sc1.5_rad,6300,108.7,91.4,-0.19,54
sc1.5_rad,2700,103.7,81.7,-0.06,54
