rpm,base,rad,radw,load,stock,ve_all,ve_h,ncol,slope,cyc,valid
3900,130.0,0.0,0.005,100,115.7,138.4,138.4,0,+0.03,54,1
3900,140.0,0.0,0.005,100,115.7,134.9,134.9,0,+0.06,54,1
3900,145.0,0.0,0.005,100,115.7,96.1,96.1,0,+0.10,54,1
3900,135.0,0.0,0.005,100,115.7,99.5,99.5,0,-0.16,54,1
3900,130.0,0.2,0.005,100,115.7,86.0,86.0,0,-0.14,54,1
3900,135.0,0.5,0.005,100,115.7,86.3,86.3,0,-0.09,54,1
3900,130.0,0.5,0.005,100,115.7,88.6,88.6,0,+0.02,54,1
3900,140.0,0.5,0.005,100,115.7,84.7,84.7,0,-0.00,54,1
3900,135.0,0.2,0.005,100,115.7,85.3,85.3,0,+0.15,54,1
3900,145.0,0.2,0.005,100,115.7,81.1,81.1,0,+0.18,54,1
3900,140.0,0.2,0.005,100,115.7,83.0,83.0,0,-0.08,54,1
3900,145.0,0.5,0.005,100,115.7,81.7,81.7,0,-0.02,54,1
3900,150.0,0.5,0.005,100,115.7,80.4,80.4,0,+0.06,54,1
3900,150.0,0.2,0.005,100,115.7,78.8,78.8,0,+0.07,54,1
3900,150.0,0.0,0.005,100,115.7,73.5,73.5,0,+0.41,45,1
