rpm,base,rad,radw,load,stock,ve_all,ve_h,ncol,slope,cyc,valid
6900,150.0,0.0,0.005,100,106.0,129.6,129.6,0,+0.05,54,1
6300,150.0,0.0,0.005,100,108.7,133.4,133.4,0,+0.02,54,1
6900,150.0,0.1,0.005,100,106.0,131.2,131.2,0,+0.02,54,1
5300,150.0,0.0,0.005,100,110.1,135.0,135.0,0,+0.09,54,1
5300,150.0,0.1,0.005,100,110.1,136.6,136.6,0,+0.12,54,1
5300,150.0,0.2,0.005,100,110.1,133.4,133.4,0,+0.23,54,1
6300,150.0,0.1,0.005,100,108.7,91.4,91.4,0,-0.09,54,1
4600,150.0,0.1,0.005,100,111.3,142.3,142.3,0,+0.04,54,1
4600,150.0,0.0,0.005,100,111.3,139.0,139.0,0,+0.06,54,1
3900,150.0,0.0,0.005,100,115.7,72.3,72.3,0,+0.47,41,0
2700,150.0,0.0,0.005,100,103.7,99.7,99.7,0,-0.18,47,1
2700,150.0,0.1,0.005,100,103.7,84.2,84.2,0,+0.03,44,1
4600,150.0,0.2,0.005,100,111.3,82.8,82.8,0,-0.13,45,1
3900,150.0,0.1,0.005,100,115.7,80.4,80.4,0,+0.08,54,1
2700,150.0,0.2,0.005,100,103.7,79.5,79.5,0,+0.11,33,1
3900,150.0,0.2,0.005,100,115.7,78.9,78.9,0,+0.00,53,1
6900,150.0,0.2,0.005,100,106.0,82.7,82.7,0,-0.16,54,1
6300,150.0,0.2,0.005,100,108.7,85.7,85.7,0,-0.15,54,1
6900,150.0,0.4,0.005,100,106.0,87.1,87.1,0,-0.13,54,1
6300,150.0,0.4,0.005,100,108.7,88.3,88.3,0,-0.12,54,1
5300,150.0,0.4,0.005,100,110.1,89.3,89.3,0,-0.03,54,1
4600,150.0,0.4,0.005,100,111.3,87.8,87.8,0,-0.03,54,1
3900,150.0,0.4,0.005,100,115.7,78.7,78.7,0,-0.04,54,1
2700,150.0,0.4,0.005,100,103.7,82.4,82.4,0,+0.03,54,1
