rpm,load,stock,sim,valid,cyc
2700,100,103.7,142.1,1,17
3900,100,115.7,93.7,1,17
5300,100,110.1,150.0,1,17
6900,100,106.0,142.8,1,17
2700,65,101.7,138.8,1,3
3900,65,111.8,70.4,1,12
5300,65,107.3,142.7,1,17
6900,65,101.2,123.9,1,16
2700,45,97.2,62.0,1,7
5300,65,107.3,142.7,1,17
6900,65,101.2,123.9,1,16
2700,45,97.2,62.0,1,7
3900,45,105.3,132.7,1,3
5300,45,101.9,126.1,1,17
6900,45,92.1,85.9,1,17
3900,45,105.3,132.7,1,3
5300,45,101.9,126.1,1,17
6900,45,92.1,85.9,1,17
2700,20,92.5,935.5,0,2
3900,20,86.5,95.2,1,6
5300,20,83.9,79.3,1,7
6900,20,70.3,58.4,1,17
