rpm,load,base,exbias,stock,sim,valid,cyc
2700,100,150,57.0,103.7,92.2,1,24
2700,65,150,57.0,101.7,65.3,1,20
2700,45,150,57.0,97.2,96.1,1,24
3900,100,150,63.0,115.7,126.2,1,28
3900,65,150,63.0,111.8,86.8,1,26
3900,45,150,63.0,105.3,85.9,1,26
5300,100,150,45.0,110.1,126.8,1,29
5300,65,150,45.0,107.3,126.6,1,29
5300,45,150,45.0,101.9,130.8,1,29
6900,100,150,39.0,106.0,128.0,1,29
6900,65,150,39.0,101.2,129.3,1,29
6900,45,150,42.0,92.1,115.2,1,29
2700,20,150,57.0,92.5,82.1,1,29
3900,20,150,57.0,86.5,62.0,0,27
5300,20,150,52.0,83.9,78.2,1,29
6900,20,150,47.0,70.3,65.8,1,29
2100,100,150,67.0,93.2,80.2,1,21
2100,65,150,67.0,89.6,86.7,1,22
2100,45,150,67.0,86.5,71.9,0,17
4600,100,150,46.0,111.3,139.0,1,29
4600,65,150,46.0,108.9,97.1,1,29
4600,45,150,46.0,104.1,93.8,1,29
6300,100,150,42.0,108.7,92.3,1,29
6300,65,150,42.0,104.4,94.0,1,29
6300,45,150,42.0,95.5,98.1,1,29
7300,100,150,39.0,107.1,128.8,1,29
7300,65,150,39.0,100.9,127.7,1,29
7300,45,150,42.0,90.4,107.8,1,29
2100,20,150,67.0,85.7,79.5,1,28
4600,20,150,52.0,84.2,84.1,1,29
6300,20,150,47.0,75.4,73.7,1,29
7300,20,150,47.0,67.7,65.4,1,29
